,LINK,sector,company_code,company_name
93,http://www.moneycontrol.com/india/stockpricequote/electricequipment/cgpowerindustrialsolutions/CG,electricequipment,CG,cgpowerindustrialsolutions
94,http://www.moneycontrol.com/india/stockpricequote/fertilisers/chambalfertiliserschemicals/CFC,fertilisers,CFC,chambalfertiliserschemicals
95,http://www.moneycontrol.com/india/stockpricequote/refineries/chennaipetroleumcorporation/CPC02,refineries,CPC02,chennaipetroleumcorporation
96,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/cholamandalaminvestmentfinancecompany/CDB,financeleasinghirepurchase,CDB,cholamandalaminvestmentfinancecompany
97,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C,pharmaceuticals,C,cipla
98,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/cityunionbank/CUB,banksprivatesector,CUB,cityunionbank
99,http://www.moneycontrol.com/india/stockpricequote/miningminerals/coalindia/CI11,miningminerals,CI11,coalindia
100,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/coffeedayenterprises/CDE,foodprocessing,CDE,coffeedayenterprises
101,http://www.moneycontrol.com/india/stockpricequote/personalcare/colgatepalmoliveindia/CPI,personalcare,CPI,colgatepalmoliveindia
102,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/containercorporationindia/CCI,transportlogistics,CCI,containercorporationindia
103,http://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45,fertilisers,CI45,coromandelinternational
104,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/corporationbank/CB,bankspublicsector,CB,corporationbank
105,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/coxkings/CK,miscellaneous,CK,coxkings
106,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/crisil/CRI,miscellaneous,CRI,crisil
107,http://www.moneycontrol.com/india/stockpricequote/engines/cumminsindia/CI02,engines,CI02,cumminsindia
108,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/cyient/IE07,computerssoftware,IE07,cyient
109,http://www.moneycontrol.com/india/stockpricequote/personalcare/daburindia/DI,personalcare,DI,daburindia
110,http://www.moneycontrol.com/india/stockpricequote/cementmajor/dalmiabharat/DBE,cementmajor,DBE,dalmiabharat
111,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dbcorp/C13,mediaentertainment,C13,dbcorp
