,LINK,MARKETCAP_RS_CR,P_BY_E,BOOK_VALUE_RS,DIV_PERCENT,MARKET_LOT,INDUSTRY_P_BY_E,EPS_TTM,P_BY_C,PRICE_BY_BOOK,DIV_YIELD_PERCENT,FACE_VALUE,sector,company_code,company_name
17,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alembicpharmaceuticals/AP35,9479.52,22.46,121.44,200.0,1,28.83,22.39,18.1,4.14,0.8,2.0,pharmaceuticals,AP35,alembicpharmaceuticals
18,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/alkemlaboratories/AL05,22573.27,31.53,427.26,300.0,1,28.83,59.87,27.41,4.42,0.32,2.0,pharmaceuticals,AL05,alkemlaboratories
20,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/allcargologistics/AGL02,2592.09,90.17,55.81,100.0,1,40.69,1.17,19.87,1.89,1.9,2.0,transportlogistics,AGL02,allcargologistics
21,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/amararajabatteries/ARB,12392.45,26.3,179.4,425.0,1,30.16,27.59,17.66,4.04,0.59,1.0,autoancillaries,ARB,amararajabatteries
22,http://www.moneycontrol.com/india/stockpricequote/cementmajor/ambujacements/AC18,41192.21,32.31,100.59,180.0,1,35.64,6.42,22.28,2.06,1.74,2.0,cementmajor,AC18,ambujacements
24,http://www.moneycontrol.com/india/stockpricequote/electricequipment/aparindustries/AI40,2574.33,17.87,285.38,100.0,1,15.61,37.65,13.29,2.36,1.49,10.0,electricequipment,AI40,aparindustries
25,http://www.moneycontrol.com/india/stockpricequote/steeltubespipes/aplapollotubes/BT09,3946.5,37.52,213.34,120.0,1,17.39,44.32,26.46,7.8,0.72,10.0,steeltubespipes,BT09,aplapollotubes
26,http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/apollohospitalsenterprises/AHE,14608.14,62.65,274.01,120.0,1,50.7,16.76,28.92,3.83,0.57,5.0,hospitalsmedicalservices,AHE,apollohospitalsenterprises
27,http://www.moneycontrol.com/india/stockpricequote/tyres/apollotyres/AT14,14595.86,23.45,104.18,300.0,1,25.91,10.88,14.79,2.45,1.18,1.0,tyres,AT14,apollotyres
28,http://www.moneycontrol.com/india/stockpricequote/textilesdenim/arvind/A18,10303.3,42.25,135.03,24.0,1,34.68,9.43,22.77,2.95,0.6,10.0,textilesdenim,A18,arvind
29,http://www.moneycontrol.com/india/stockpricequote/glassglassproducts/asahiindiaglass/AIG01,8065.72,43.54,28.21,100.0,1,40.05,7.62,29.11,11.76,0.3,1.0,glassglassproducts,AIG01,asahiindiaglass
30,http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/ashokleyland/AL,36821.17,23.58,24.41,243.0,1,34.71,5.32,17.4,5.14,1.94,1.0,autolcvshcvs,AL,ashokleyland
31,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ashokabuildcon/AB,4253.89,16.87,112.28,32.0,1,28.23,13.47,13.94,2.02,0.7,5.0,constructioncontractingcivil,AB,ashokabuildcon
32,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31,121146.68,63.92,81.3,870.0,1,55.61,19.76,54.91,15.54,0.69,1.0,paintsvarnishes,AP31,asianpaints
33,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/astramicrowaveproducts/AMP01,851.39,14.02,59.44,50.0,1,27.31,7.01,9.7,1.65,1.02,2.0,telecommunicationsequipment,AMP01,astramicrowaveproducts
34,http://www.moneycontrol.com/india/stockpricequote/plastics/astralpolytechnik/APT02,12085.31,101.5,69.71,50.0,1,84.99,9.94,72.95,14.47,0.05,1.0,plastics,APT02,astralpolytechnik
35,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/astrazenecapharma/AZP,3544.25,136.06,82.55,0.0,1,28.83,10.42,86.87,17.17,,2.0,pharmaceuticals,AZP,astrazenecapharma
36,http://www.moneycontrol.com/india/stockpricequote/dyespigments/atul/A06,7860.36,29.07,738.73,100.0,1,21.49,91.16,20.95,3.59,0.38,10.0,dyespigments,A06,atul
37,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP,35447.41,19.55,174.92,250.0,1,28.83,30.94,16.35,3.46,0.41,1.0,pharmaceuticals,AP,aurobindopharma
38,http://www.moneycontrol.com/india/stockpricequote/aquaculture/avantifeeds/AF21,7342.96,17.69,72.47,450.0,1,17.15,30.46,17.09,7.44,0.83,1.0,aquaculture,AF21,avantifeeds
39,http://www.moneycontrol.com/india/stockpricequote/retail/avenuesupermarts/AS19,92495.56,117.91,74.06,0.0,1,145.89,12.57,98.48,20.01,,10.0,retail,AS19,avenuesupermarts
40,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/axisbank/AB16,131067.69,477.01,217.28,0.0,1,32.65,1.07,155.14,2.35,,2.0,banksprivatesector,AB16,axisbank
41,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/bajajauto/BA10,80530.84,19.8,660.19,600.0,1,21.21,140.59,18.37,4.22,2.16,10.0,auto23wheelers,BA10,bajajauto
42,http://www.moneycontrol.com/india/stockpricequote/personalcare/bajajcorp/BC02,5972.28,27.62,48.68,1150.0,1,66.93,14.66,26.76,8.32,2.84,1.0,personalcare,BC02,bajajcorp
43,http://www.moneycontrol.com/india/stockpricequote/domesticappliances/bajajelectricals/BE,5557.02,66.43,93.53,140.0,1,48.01,8.19,47.27,5.82,0.51,2.0,domesticappliances,BE,bajajelectricals
44,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/bajajfinance/BAF,132932.73,50.23,285.81,200.0,1,34.92,45.79,48.36,8.05,0.17,2.0,financeleasinghirepurchase,BAF,bajajfinance
45,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajfinserv/BF04,92595.14,655.25,180.96,35.0,1,34.92,8.88,648.68,32.15,0.03,5.0,financeinvestments,BF04,bajajfinserv
47,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajholdingsinvestment/BHI,32142.68,24.47,738.27,400.0,1,34.92,118.03,24.37,3.91,1.38,10.0,financeinvestments,BHI,bajajholdingsinvestment
48,http://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03,20030.56,27.1,211.84,400.0,1,25.91,38.24,19.07,4.89,0.77,2.0,tyres,BI03,balkrishnaindustries
49,http://www.moneycontrol.com/india/stockpricequote/diversified/balmerlawriecompany/BLC,2403.74,13.01,118.49,70.0,1,21.24,16.21,11.37,1.78,3.32,10.0,diversified,BLC,balmerlawriecompany
50,http://www.moneycontrol.com/india/stockpricequote/sugar/balrampurchinimills/BCM,1448.24,6.55,77.12,350.0,1,9.88,9.68,4.58,0.82,5.52,1.0,sugar,BCM,balrampurchinimills
54,http://www.moneycontrol.com/india/stockpricequote/chemicals/basfindia/BAS,8393.52,34.05,311.59,10.0,1,22.75,56.95,20.99,6.22,0.05,10.0,chemicals,BAS,basfindia
55,http://www.moneycontrol.com/india/stockpricequote/leatherproducts/bataindia/BI01,11041.16,49.37,115.05,80.0,1,41.6,17.4,38.87,7.47,0.47,5.0,leatherproducts,BI01,bataindia
56,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/bayercropscience/BC12,15637.92,52.11,686.13,170.0,1,36.35,87.41,46.93,6.64,0.37,10.0,pesticidesagrochemicals,BC12,bayercropscience
57,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/beml/BEM03,3396.94,26.25,554.91,80.0,1,21.24,31.08,17.54,1.47,0.98,10.0,infrastructuregeneral,BEM03,beml
58,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/bergerpaintsindia/BPI02,27310.26,62.22,24.24,175.0,1,55.61,4.52,49.6,11.6,0.62,1.0,paintsvarnishes,BPI02,bergerpaintsindia
59,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/bfutilities/BFU,1179.94,74.58,26.7,0.0,1,11.31,4.2,60.01,11.73,,5.0,powergenerationdistribution,BFU,bfutilities
60,http://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/BE03,26707.49,19.07,30.56,225.0,1,19.48,5.7,16.18,3.56,2.07,1.0,electricals,BE03,bharatelectronics
61,http://www.moneycontrol.com/india/stockpricequote/financegeneral/bharatfinancialinclusion/SM11,16104.38,35.36,175.59,0.0,1,34.92,32.67,34.36,6.58,,10.0,financegeneral,SM11,bharatfinancialinclusion
62,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/bharatforge/BF03,28510.32,40.31,90.89,475.0,1,44.13,15.19,28.12,6.74,1.55,2.0,castingsforgings,BF03,bharatforge
63,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/bhartiairtel/BA08,152300.94,1905.0,253.38,20.0,1,344.41,0.2,11.6,1.5,0.26,5.0,telecommunicationsservice,BA08,bhartiairtel
64,http://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/bhartiinfratel/BI14,55247.8,22.89,100.84,160.0,1,22.66,13.05,15.37,2.96,5.36,10.0,telecommunicationsequipment,BI14,bhartiinfratel
65,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bharatheavyelectricals/BHE,26342.3,32.61,87.96,79.0,1,21.24,2.2,16.53,0.82,2.2,2.0,infrastructuregeneral,BHE,bharatheavyelectricals
66,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/biocon/BL03,36885.0,154.46,60.12,20.0,1,28.83,3.98,98.52,10.23,0.16,5.0,pharmaceuticals,BL03,biocon
67,http://www.moneycontrol.com/india/stockpricequote/cementmajor/birlacorporation/BC07,5563.64,48.33,427.15,65.0,1,35.64,14.95,21.3,1.69,0.9,10.0,cementmajor,BC07,birlacorporation
68,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/blissgvspharma/BGV,1736.47,30.44,53.16,60.0,1,28.83,5.53,27.69,3.17,0.36,1.0,pharmaceuticals,BGV,blissgvspharma
69,http://www.moneycontrol.com/india/stockpricequote/couriers/bluedartexpress/BDE,8664.49,60.97,279.75,150.0,1,53.64,59.89,46.32,13.05,0.41,10.0,couriers,BDE,bluedartexpress
70,http://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/bluestar/BS,6190.25,43.61,95.44,375.0,1,19.08,14.76,30.56,6.74,1.17,2.0,consumergoodswhitegoods,BS,bluestar
72,http://www.moneycontrol.com/india/stockpricequote/textilesprocessing/bombaydyeingmanufacturingcompany/BDM,4551.0,131.95,21.2,35.0,1,50.65,1.67,70.85,10.39,0.32,2.0,textilesprocessing,BDM,bombaydyeingmanufacturingcompany
73,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/bosch/B05,53376.96,38.94,3332.27,1650.0,1,34.3,449.12,29.04,5.25,0.94,10.0,autoancillaries,B05,bosch
74,http://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC,80598.59,10.18,137.83,310.0,1,7.49,36.51,7.63,2.7,8.34,10.0,refineries,BPC,bharatpetroleumcorporation
75,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/britanniaindustries/BI,74736.82,78.85,294.01,1100.0,1,64.8,78.95,70.0,21.17,0.35,2.0,foodprocessing,BI,britanniaindustries
76,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC,38625.81,35.39,75.3,320.0,1,28.83,10.66,27.91,5.01,0.85,1.0,pharmaceuticals,CHC,cadilahealthcare
77,http://www.moneycontrol.com/india/stockpricequote/financehousing/canfinhomes/CFH,4539.96,15.05,101.12,100.0,1,24.02,22.66,14.9,3.37,0.59,2.0,financehousing,CFH,canfinhomes
79,http://www.moneycontrol.com/india/stockpricequote/financegeneral/capitalfirst/FCH,5116.04,15.65,257.52,28.0,1,34.92,33.02,14.42,2.01,0.54,10.0,financegeneral,FCH,capitalfirst
80,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/caplinpointlaboratories/CPL,3218.06,31.46,39.43,75.0,1,28.83,13.53,26.54,10.8,0.35,2.0,pharmaceuticals,CPL,caplinpointlaboratories
81,http://www.moneycontrol.com/india/stockpricequote/abrasives/carborundumuniversal/CU,5961.6,41.55,63.41,175.0,1,39.14,7.59,27.43,4.97,0.55,1.0,abrasives,CU,carborundumuniversal
82,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/creditanalysisresearch/CAR,3682.95,22.87,224.04,280.0,1,38.62,54.66,22.46,5.58,2.24,10.0,miscellaneous,CAR,creditanalysisresearch
83,http://www.moneycontrol.com/india/stockpricequote/lubricants/castrolindia/CI01,16320.52,23.5,10.31,140.0,1,25.3,7.02,22.06,16.0,4.24,5.0,lubricants,CI01,castrolindia
84,http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/cclproductsindia/CC10,3609.05,36.91,44.7,125.0,1,31.24,7.35,33.13,6.07,0.92,2.0,plantationsteacoffee,CC10,cclproductsindia
85,http://www.moneycontrol.com/india/stockpricequote/tyres/ceat/C07,5093.27,18.22,639.03,115.0,1,25.91,69.09,11.55,1.97,0.91,10.0,tyres,C07,ceat
87,http://www.moneycontrol.com/india/stockpricequote/diversified/centurytextilesindustries/CTI,9896.24,26.63,255.47,55.0,1,21.24,33.27,14.44,3.47,0.62,10.0,diversified,CTI,centurytextilesindustries
88,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/centuryplyboards/CP9,5606.57,35.79,31.84,100.0,1,36.69,7.04,23.59,7.91,0.4,1.0,miscellaneous,CP9,centuryplyboards
89,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/cerasanitaryware/CS18,3597.55,35.89,478.75,240.0,1,23.33,77.08,29.34,5.78,0.43,5.0,ceramicsgranite,CS18,cerasanitaryware
90,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/cesc/CES,12121.02,13.92,1070.79,100.0,1,11.31,65.71,9.3,0.85,1.09,10.0,powergenerationdistribution,CES,cesc
91,http://www.moneycontrol.com/india/stockpricequote/electricals/cromptongreavesconsumerelectrical/CGC01,14203.53,43.83,13.77,87.5,1,46.21,5.17,42.2,16.46,0.77,2.0,electricals,CGC01,cromptongreavesconsumerelectrical
93,http://www.moneycontrol.com/india/stockpricequote/fertilisers/chambalfertiliserschemicals/CFC,6449.14,13.43,72.45,19.0,1,13.56,11.54,11.87,2.14,1.23,10.0,fertilisers,CFC,chambalfertiliserschemicals
94,http://www.moneycontrol.com/india/stockpricequote/refineries/chennaipetroleumcorporation/CPC02,4504.57,4.93,283.84,210.0,1,7.49,61.31,3.59,1.07,6.94,10.0,refineries,CPC02,chennaipetroleumcorporation
95,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/cholamandalaminvestmentfinancecompany/CDB,23651.96,24.28,338.16,55.0,1,34.92,62.31,23.1,4.47,0.36,10.0,financeleasinghirepurchase,CDB,cholamandalaminvestmentfinancecompany
96,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C,49720.56,33.85,177.21,100.0,1,28.83,18.24,24.88,3.48,0.32,2.0,pharmaceuticals,C,cipla
97,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/cityunionbank/CUB,12262.45,20.71,53.44,30.0,1,32.65,8.9,20.71,3.45,0.16,1.0,banksprivatesector,CUB,cityunionbank
98,http://www.moneycontrol.com/india/stockpricequote/miningminerals/coalindia/CI11,164123.9,17.66,37.4,199.0,1,14.25,14.97,17.63,7.07,7.53,10.0,miningminerals,CI11,coalindia
100,http://www.moneycontrol.com/india/stockpricequote/personalcare/colgatepalmoliveindia/CPI,32094.3,47.66,71.59,1000.0,1,66.93,24.76,38.68,16.48,0.85,1.0,personalcare,CPI,colgatepalmoliveindia
101,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/containercorporationindia/CCI,31710.12,30.23,166.3,171.0,1,25.11,21.52,21.99,3.91,1.31,5.0,transportlogistics,CCI,containercorporationindia
102,http://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45,11474.32,17.4,118.72,500.0,1,13.56,22.55,15.17,3.31,1.27,1.0,fertilisers,CI45,coromandelinternational
104,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/coxkings/CK,3654.01,20.76,171.74,20.0,1,20.7,9.97,17.66,1.21,0.48,5.0,miscellaneous,CK,coxkings
105,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/crisil/CRI,12972.28,54.48,113.04,2800.0,1,38.62,33.16,48.65,15.98,1.55,1.0,miscellaneous,CRI,crisil
106,http://www.moneycontrol.com/india/stockpricequote/engines/cumminsindia/CI02,17993.05,25.4,160.56,700.0,1,24.01,25.56,22.43,4.04,2.16,2.0,engines,CI02,cumminsindia
107,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/cyient/IE07,8714.19,21.69,202.3,210.0,1,22.18,35.59,19.25,3.82,1.36,5.0,computerssoftware,IE07,cyient
108,http://www.moneycontrol.com/india/stockpricequote/personalcare/daburindia/DI,69043.28,64.4,23.93,750.0,1,66.93,6.07,58.78,16.34,1.92,1.0,personalcare,DI,daburindia
109,http://www.moneycontrol.com/india/stockpricequote/cementmajor/dalmiabharat/DBE,20372.87,227.15,166.2,0.0,1,82.32,10.06,214.17,13.75,,2.0,cementmajor,DBE,dalmiabharat
110,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dbcorp/C13,4728.6,14.57,86.87,40.0,1,14.79,17.63,11.35,2.96,1.56,10.0,mediaentertainment,C13,dbcorp
111,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/dcbbank/DCB01,5089.26,20.74,82.81,7.5,1,32.65,7.95,17.03,1.99,0.45,10.0,banksprivatesector,DCB01,dcbbank
112,http://www.moneycontrol.com/india/stockpricequote/diversified/dcmshriram/DCM02,4803.46,6.98,198.77,290.0,1,21.24,42.39,5.81,1.49,1.96,2.0,diversified,DCM02,dcmshriram
113,http://www.moneycontrol.com/india/stockpricequote/fertilisers/deepakfertilizerspetrochemicalscoprn/DFP,2366.54,22.06,208.9,60.0,1,13.56,12.16,15.01,1.28,2.24,10.0,fertilisers,DFP,deepakfertilizerspetrochemicalscoprn
114,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/deltacorp/DC11,5803.78,55.46,39.69,35.0,1,37.91,3.91,48.73,5.46,0.16,1.0,constructioncontractingrealestate,DC11,deltacorp
117,http://www.moneycontrol.com/india/stockpricequote/financehousing/dewanhousingfinancecorporation/DHF,19962.82,17.03,280.42,55.0,1,24.02,37.37,16.64,2.27,0.86,10.0,financehousing,DHF,dewanhousingfinancecorporation
118,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/dhanukaagritech/DA01,2759.43,21.87,131.63,30.0,1,36.35,25.71,19.66,4.27,0.11,2.0,pesticidesagrochemicals,DA01,dhanukaagritech
119,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/dilipbuildcon/DB04,9076.73,14.63,180.83,10.0,1,28.23,45.35,10.14,3.67,0.15,10.0,constructioncontractingcivil,DB04,dilipbuildcon
121,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03,27564.93,31.7,236.51,500.0,1,28.83,32.76,27.24,4.39,0.96,2.0,pharmaceuticals,DL03,divislaboratories
122,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/dlf/D04,33656.76,92.02,84.46,100.0,1,28.23,2.05,67.62,2.23,1.06,2.0,constructioncontractingrealestate,D04,dlf
123,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drlalpathlabs/DLP01,7958.71,47.37,95.18,30.0,1,50.7,20.16,39.99,10.03,0.31,10.0,pharmaceuticals,DLP01,drlalpathlabs
124,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL,37075.1,65.39,698.95,400.0,1,28.83,34.16,27.65,3.2,0.9,5.0,pharmaceuticals,DRL,drreddyslaboratories
125,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/eclerxservices/eS06,5027.19,18.08,356.28,10.0,1,21.87,72.0,16.34,3.65,0.08,10.0,computerssoftwaremediumsmall,eS06,eclerxservices
126,http://www.moneycontrol.com/india/stockpricequote/financegeneral/edelweissfinancialservices/EC01,27389.72,192.56,36.36,135.0,1,34.92,1.54,186.51,8.16,0.46,1.0,financegeneral,EC01,edelweissfinancialservices
127,http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/eichermotors/EM,77820.04,45.43,2067.67,1000.0,1,34.71,628.46,40.21,13.81,0.35,10.0,autolcvshcvs,EM,eichermotors
128,http://www.moneycontrol.com/india/stockpricequote/sugar/eidparryindia/EID,4234.6,41.9,89.19,400.0,1,9.88,5.71,19.79,2.68,1.67,1.0,sugar,EID,eidparryindia
129,http://www.moneycontrol.com/india/stockpricequote/hotels/eih/EIH,9696.68,86.56,46.74,45.0,1,65.7,1.96,43.84,3.63,0.53,2.0,hotels,EIH,eih
130,http://www.moneycontrol.com/india/stockpricequote/compressors/elgiequipments/EE01,4275.1,55.63,38.98,100.0,1,31.51,4.85,37.73,6.92,0.37,1.0,compressors,EE01,elgiequipments
131,http://www.moneycontrol.com/india/stockpricequote/personalcare/emami/E06,23963.24,77.4,44.55,700.0,1,66.93,6.82,38.99,11.85,1.33,1.0,personalcare,E06,emami
132,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/endurancetechnologies/ET01,17592.7,64.77,130.43,25.0,1,36.84,19.31,39.87,9.59,0.2,10.0,auto23wheelers,ET01,endurancetechnologies
133,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/engineersindia/EI14,7835.7,20.74,49.58,60.0,1,27.19,5.98,19.5,2.5,2.42,5.0,infrastructuregeneral,EI14,engineersindia
134,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/entertainmentnetworkindia/ENI,3349.32,95.2,186.66,10.0,1,33.06,7.38,33.96,3.76,0.14,10.0,mediaentertainment,ENI,entertainmentnetworkindia
135,http://www.moneycontrol.com/india/stockpricequote/financegeneral/equitasholdings/EH03,4633.52,849.69,49.4,0.0,1,34.92,0.16,755.28,2.75,,10.0,financegeneral,EH03,equitasholdings
136,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/erosinternationalmedia/EIM,1112.75,14.44,142.12,0.0,1,33.06,8.1,13.39,0.82,,10.0,mediaentertainment,EIM,erosinternationalmedia
137,http://www.moneycontrol.com/india/stockpricequote/autotractors/escorts/E,10666.64,30.95,190.56,15.0,1,27.89,28.12,25.56,4.57,0.17,10.0,autotractors,E,escorts
138,http://www.moneycontrol.com/india/stockpricequote/packaging/esselpropack/EP11,3696.91,45.58,20.83,120.0,1,22.08,2.58,24.65,5.65,2.04,2.0,packaging,EP11,esselpropack
139,http://www.moneycontrol.com/india/stockpricequote/drycells/evereadyindustriesindia/EII02,1643.46,30.03,47.36,20.0,1,19.3,7.53,22.21,4.77,0.44,5.0,drycells,EII02,evereadyindustriesindia
140,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/exideindustries/EI,21947.0,32.85,66.26,240.0,1,30.16,7.86,24.0,3.9,0.93,1.0,autoancillaries,EI,exideindustries
141,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fdc/FDC,3930.17,23.35,82.09,225.0,1,28.83,9.65,19.33,2.75,1.0,1.0,pharmaceuticals,FDC,fdc
142,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/federalbank/FB,16038.54,18.27,45.47,45.0,1,32.65,4.44,18.27,1.78,1.11,2.0,banksprivatesector,FB,federalbank
143,http://www.moneycontrol.com/india/stockpricequote/cablestelephone/finolexcables/FC01,8906.42,24.87,146.18,150.0,1,28.67,23.42,22.16,3.98,0.52,2.0,cablestelephone,FC01,finolexcables
144,http://www.moneycontrol.com/india/stockpricequote/petrochemicals/finolexindustries/FI,7249.65,24.28,208.71,115.0,1,25.73,24.06,20.19,2.8,1.97,10.0,petrochemicals,FI,finolexindustries
145,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/firstsourcesolutions/FS07,4846.45,25.23,29.15,0.0,1,21.87,2.79,22.71,2.42,,10.0,computerssoftwaremediumsmall,FS07,firstsourcesolutions
146,http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/forcemotors/FM01,3335.64,22.7,1375.47,100.0,1,34.71,111.53,12.08,1.84,0.4,10.0,autolcvshcvs,FM01,forcemotors
