,LINK,company_code,company_category,company_name,BOOK VALUE (Rs),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,sector
43,http://www.moneycontrol.com/india/stockpricequote/domesticappliances/bajajelectricals/BE,BE,domesticappliances,bajajelectricals,93.62,140.00%,0.52%,8.20,2.00,48.93,"5,482.47",1,46.64,65.52,5.74,DOMESTIC APPLIANCES
44,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/bajajfinance/BAF,BAF,financeleasinghirepurchase,bajajfinance,212.01,180.00%,0.16%,45.79,2.00,36.62,"131,961.74",1,48.01,49.86,10.77,FINANCE - LEASING & HIRE PURCHASE
45,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajfinserv/BF04,BF04,financeinvestments,bajajfinserv,182.70,35.00%,0.03%,8.88,5.00,36.62,"95,218.49",1,667.06,673.82,32.75,FINANCE - INVESTMENTS
46,http://www.moneycontrol.com/india/stockpricequote/sugar/bajajhindusthan/BH06,BH06,sugar,bajajhindusthan,31.08,0.00%,-%,-,1.00,10.33,861.51,1,-,-,0.24,SUGAR
47,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajholdingsinvestment/BHI,BHI,financeinvestments,bajajholdingsinvestment,777.20,325.00%,1.09%,118.03,10.00,36.62,"33,311.26",1,25.26,25.36,3.85,FINANCE - INVESTMENTS
48,http://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03,BI03,tyres,balkrishnaindustries,183.56,400.00%,0.73%,38.24,2.00,27.04,"21,321.92",1,20.30,28.84,6.01,TYRES
49,http://www.moneycontrol.com/india/stockpricequote/diversified/balmerlawriecompany/BLC,BLC,diversified,balmerlawriecompany,118.49,70.00%,3.16%,16.21,10.00,22.07,"2,523.45",1,11.94,13.66,1.87,DIVERSIFIED
50,http://www.moneycontrol.com/india/stockpricequote/sugar/balrampurchinimills/BCM,BCM,sugar,balrampurchinimills,77.12,350.00%,4.75%,9.68,1.00,10.33,"1,684.66",1,5.32,7.62,0.96,SUGAR
51,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofbaroda/BOB,BOB,bankspublicsector,bankofbaroda,143.41,60.00%,0.91%,-,2.00,12.43,"34,801.76",1,-,-,0.92,BANKS - PUBLIC SECTOR
52,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankofindia/BOI,BOI,bankspublicsector,bankofindia,145.78,0.00%,-%,-,10.00,12.43,"17,142.19",1,-,-,0.67,BANKS - PUBLIC SECTOR
53,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/bankmaharashtra/BM05,BM05,bankspublicsector,bankmaharashtra,38.27,0.00%,-%,-,10.00,12.43,"3,523.50",1,-,-,0.35,BANKS - PUBLIC SECTOR
54,http://www.moneycontrol.com/india/stockpricequote/chemicals/basfindia/BAS,BAS,chemicals,basfindia,311.59,10.00%,0.05%,56.95,10.00,24.63,"8,755.39",1,21.90,35.52,6.49,CHEMICALS
