,LINK,company_code,company_category,company_name,BOOK_VALUE_RS,DIV_PERCENT,DIV_YIELD_PERCENT,EPS_TTM,FACE_VALUE,INDUSTRY_P_BY_E,MARKETCAP_RS_CR,MARKET_LOT,P_BY_C,P_BY_E,PRICE_BY_BOOK,sector
45,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajfinserv/BF04,BF04,financeinvestments,bajajfinserv,182.7,35.0,0.03,8.88,5.0,36.62,95218.49,1,667.06,673.82,32.75,FINANCE - INVESTMENTS
47,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajholdingsinvestment/BHI,BHI,financeinvestments,bajajholdingsinvestment,777.2,325.0,1.09,118.03,10.0,36.62,33311.26,1,25.26,25.36,3.85,FINANCE - INVESTMENTS
48,http://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03,BI03,tyres,balkrishnaindustries,183.56,400.0,0.73,38.24,2.0,27.04,21321.92,1,20.3,28.84,6.01,TYRES
49,http://www.moneycontrol.com/india/stockpricequote/diversified/balmerlawriecompany/BLC,BLC,diversified,balmerlawriecompany,118.49,70.0,3.16,16.21,10.0,22.07,2523.45,1,11.94,13.66,1.87,DIVERSIFIED
50,http://www.moneycontrol.com/india/stockpricequote/sugar/balrampurchinimills/BCM,BCM,sugar,balrampurchinimills,77.12,350.0,4.75,9.68,1.0,10.33,1684.66,1,5.32,7.62,0.96,SUGAR
54,http://www.moneycontrol.com/india/stockpricequote/chemicals/basfindia/BAS,BAS,chemicals,basfindia,311.59,10.0,0.05,56.95,10.0,24.63,8755.39,1,21.9,35.52,6.49,CHEMICALS
55,http://www.moneycontrol.com/india/stockpricequote/leatherproducts/bataindia/BI01,BI01,leatherproducts,bataindia,120.51,70.0,0.45,17.4,5.0,40.15,10009.72,1,35.24,44.76,6.46,LEATHER PRODUCTS
56,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/bayercropscience/BC12,BC12,pesticidesagrochemicals,bayercropscience,686.13,170.0,0.36,87.41,10.0,39.1,16134.04,1,48.42,53.76,6.85,PESTICIDES & AGRO CHEMICALS
57,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/beml/BEM03,BEM03,infrastructuregeneral,beml,554.91,80.0,0.92,31.08,10.0,23.24,3635.56,1,18.77,28.09,1.57,INFRASTRUCTURE - GENERAL
58,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/bergerpaintsindia/BPI02,BPI02,paintsvarnishes,bergerpaintsindia,24.24,175.0,0.6,4.52,1.0,57.09,28315.28,1,51.43,64.51,12.03,PAINTS & VARNISHES
59,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/bfutilities/BFU,BFU,powergenerationdistribution,bfutilities,26.7,0.0,,4.2,5.0,11.73,1342.47,1,68.28,84.86,13.35,POWER - GENERATION & DISTRIBUTION
60,http://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/BE03,BE03,electricals,bharatelectronics,30.56,225.0,1.92,5.7,1.0,20.88,28746.79,1,17.41,20.53,3.83,ELECTRICALS
