,LINK,company_code,company_category,company_name,BOOK_VALUE_RS,DIV_PERCENT,DIV_YIELD_PERCENT,EPS_TTM,FACE_VALUE,INDUSTRY_P_BY_E,MARKETCAP_RS_CR,MARKET_LOT,P_BY_C,P_BY_E,PRICE_BY_BOOK,sector
257,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/jmfinancial/JMF,JMF,financeinvestments,jmfinancial,20.63,150.0,1.15,1.62,1.0,36.62,10924.13,1,79.42,80.4,6.31,FINANCE - INVESTMENTS
258,http://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/johnsoncontrolshitachiairconditioningindia/HHL,HHL,consumergoodswhitegoods,johnsoncontrolshitachiairconditioningindia,198.28,15.0,0.06,36.83,10.0,20.53,7149.03,1,46.7,71.39,13.26,CONSUMER GOODS - WHITE GOODS
260,http://www.moneycontrol.com/india/stockpricequote/steellarge/jswsteel/JSW01,JSW01,steellarge,jswsteel,118.58,225.0,0.68,19.13,1.0,16.94,80287.98,1,10.45,17.36,2.8,STEEL - LARGE
261,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/jubilantfoodworks/JF04,JF04,miscellaneous,jubilantfoodworks,160.44,25.0,0.09,31.28,10.0,64.74,18215.69,1,50.28,88.25,17.21,MISCELLANEOUS
262,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/jubilantlifesciences/JO03,JO03,pharmaceuticals,jubilantlifesciences,144.79,300.0,0.39,16.54,1.0,29.05,12149.97,1,35.1,46.12,5.27,PHARMACEUTICALS
263,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/justdial/JD,JD,miscellaneous,justdial,155.26,0.0,,21.25,10.0,51.31,3827.86,1,21.32,26.73,3.66,MISCELLANEOUS
264,http://www.moneycontrol.com/india/stockpricequote/personalcare/jyothylaboratories/JL,JL,personalcare,jyothylaboratories,44.79,600.0,1.33,8.83,1.0,66.23,8219.82,1,37.87,51.21,10.09,PERSONAL CARE
265,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/kajariaceramics/KC06,KC06,ceramicsgranite,kajariaceramics,90.09,300.0,0.57,15.87,1.0,25.51,8342.51,1,26.56,33.07,5.83,CERAMICS & GRANITE
266,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/kalpatarupowertransmission/KPT,KPT,powertransmissionequipment,kalpatarupowertransmission,182.48,100.0,0.47,20.98,2.0,14.41,6547.4,1,16.43,20.34,2.34,POWER - TRANSMISSION & EQUIPMENT
267,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/kansainerolacpaints/KNP,KNP,paintsvarnishes,kansainerolacpaints,57.99,260.0,0.52,9.58,1.0,57.09,27002.57,1,45.59,52.3,8.64,PAINTS & VARNISHES
268,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/karnatakabank/KB04,KB04,banksprivatesector,karnatakabank,181.91,40.0,3.38,11.52,10.0,32.64,3344.39,1,10.27,10.27,0.65,BANKS - PRIVATE SECTOR
269,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/kaveriseedcompany/KSC01,KSC01,miscellaneous,kaveriseedcompany,186.67,0.0,,31.83,2.0,24.93,3698.19,1,15.82,17.58,3.0,MISCELLANEOUS
270,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/kecinternational/KEC04,KEC04,powertransmissionequipment,kecinternational,81.13,80.0,0.44,16.73,2.0,14.41,9275.75,1,17.65,21.57,4.45,POWER - TRANSMISSION & EQUIPMENT
272,http://www.moneycontrol.com/india/stockpricequote/engines/kirloskaroilengines/KOE03,KOE03,engines,kirloskaroilengines,122.17,250.0,1.73,10.38,2.0,25.13,4185.13,1,16.18,27.88,2.37,ENGINES
273,http://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/kitexgarments/KG01,KG01,textilesreadymadeapparels,kitexgarments,68.52,150.0,0.9,10.53,1.0,46.7,1102.57,1,11.8,15.75,2.42,TEXTILES - READYMADE APPARELS
274,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/kotakmahindrabank/KMB,KMB,banksprivatesector,kotakmahindrabank,196.65,14.0,0.05,21.43,5.0,32.64,255495.82,1,58.23,62.55,6.82,BANKS - PRIVATE SECTOR
275,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/kpittechnologies/KPI02,KPI02,computerssoftwaremediumsmall,kpittechnologies,78.67,110.0,0.78,8.99,2.0,21.82,5583.29,1,22.33,31.45,3.59,COMPUTERS - SOFTWARE MEDIUM & SMALL
276,http://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/kprmill/M15,M15,textilesreadymadeapparels,kprmill,181.75,15.0,0.12,30.44,5.0,46.7,4591.15,1,13.91,20.41,3.42,TEXTILES - READYMADE APPARELS
277,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/krbl/KRB01,KRB01,foodprocessing,krbl,99.13,210.0,0.41,19.62,1.0,26.9,11929.56,1,22.53,25.83,5.11,FOOD PROCESSING
278,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/kwality/KDI01,KDI01,foodprocessing,kwality,44.33,10.0,0.34,2.95,1.0,64.74,707.17,1,3.6,9.93,0.66,FOOD PROCESSING
279,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/ltfinanceholdings/LFH,LFH,financeinvestments,ltfinanceholdings,38.17,8.0,0.48,1.84,10.0,36.62,32989.83,1,89.84,89.84,4.33,FINANCE - INVESTMENTS
280,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/larsentoubroinfotech/LI12,LI12,computerssoftware,larsentoubroinfotech,173.01,1655.0,0.97,67.42,1.0,21.82,29301.18,1,23.41,25.26,9.84,COMPUTERS - SOFTWARE
281,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/lttechnologyservices/LTS,LTS,computerssoftwaremediumsmall,lttechnologyservices,197.26,350.0,0.52,47.76,2.0,29.78,13718.37,1,25.08,28.03,6.79,COMPUTERS - SOFTWARE MEDIUM & SMALL
282,http://www.moneycontrol.com/india/stockpricequote/glassglassproducts/laopalarg/LOR,LOR,glassglassproducts,laopalarg,24.65,100.0,0.77,6.62,2.0,41.97,2886.0,1,33.08,39.27,10.55,GLASS & GLASS PRODUCTS
283,http://www.moneycontrol.com/india/stockpricequote/textilesmachinery/lakshmimachineworks/LMW,LMW,textilesmachinery,lakshmimachineworks,1597.23,350.0,0.43,192.98,10.0,23.24,8856.1,1,31.38,41.89,5.06,TEXTILES - MACHINERY
285,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/larsentoubro/LT,LT,infrastructuregeneral,larsentoubro,290.38,1050.0,1.58,38.43,2.0,22.07,186247.55,1,22.66,34.57,4.58,INFRASTRUCTURE - GENERAL
286,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lauruslabs/LL05,LL05,pharmaceuticals,lauruslabs,144.45,15.0,0.3,16.75,10.0,29.05,5290.88,1,17.7,29.79,3.45,PHARMACEUTICALS
287,http://www.moneycontrol.com/india/stockpricequote/financehousing/lichousingfinance/LIC,LIC,financehousing,lichousingfinance,258.92,310.0,1.25,39.42,2.0,23.49,25028.76,1,12.52,12.58,1.92,FINANCE - HOUSING
288,http://www.moneycontrol.com/india/stockpricequote/chemicals/lindeindia/BOC,BOC,chemicals,lindeindia,165.06,10.0,0.22,2.34,10.0,32.84,3884.27,1,17.17,194.64,2.76,CHEMICALS
289,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,L,pharmaceuticals,lupin,326.92,375.0,0.82,29.74,2.0,29.05,41159.46,1,23.73,30.61,2.78,PHARMACEUTICALS
290,http://www.moneycontrol.com/india/stockpricequote/autocarsjeeps/mahindramahindra/MM,MM,autocarsjeeps,mahindramahindra,206.6,260.0,1.43,35.17,5.0,31.79,112962.69,1,19.3,25.84,4.4,AUTO - CARS & JEEPS
291,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/mahindramahindrafinancialservices/MMF04,MMF04,financeleasinghirepurchase,mahindramahindrafinancialservices,119.46,120.0,0.51,14.44,2.0,36.62,29331.48,1,31.34,32.88,3.97,FINANCE - LEASING & HIRE PURCHASE
292,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/magmafincorp/MF20,MF20,financeleasinghirepurchase,magmafincorp,83.44,40.0,0.47,7.52,2.0,36.62,4589.99,1,18.25,22.67,2.04,FINANCE - LEASING & HIRE PURCHASE
293,http://www.moneycontrol.com/india/stockpricequote/refineries/mahanagargas/MG02,MG02,refineries,mahanagargas,234.66,190.0,2.29,48.38,10.0,26.07,8195.59,1,13.91,17.15,3.54,REFINERIES
294,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/mahindracieautomotive/MF19,MF19,castingsforgings,mahindracieautomotive,92.45,0.0,,2.41,10.0,46.42,9694.61,1,58.07,106.27,2.77,CASTINGS & FORGINGS
295,http://www.moneycontrol.com/india/stockpricequote/hotels/mahindraholidaysresortsindia/MHR,MHR,hotels,mahindraholidaysresortsindia,50.58,50.0,1.56,10.06,10.0,69.32,4291.16,1,22.69,31.95,6.36,HOTELS
296,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/mahindralifespacedevelopers/MLD,MLD,constructioncontractingcivil,mahindralifespacedevelopers,331.3,60.0,1.05,10.35,10.0,30.6,2928.08,1,51.29,55.11,1.72,CONSTRUCTION & CONTRACTING - CIVIL
297,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/manappuramfinance/MGF01,MGF01,financeleasinghirepurchase,manappuramfinance,47.61,100.0,1.93,8.31,2.0,36.62,8716.05,1,11.46,12.45,2.17,FINANCE - LEASING & HIRE PURCHASE
298,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/manpasandbeverages/MB04,MB04,foodprocessing,manpasandbeverages,100.78,10.0,0.63,7.7,10.0,51.97,1809.65,1,11.17,20.53,1.57,FOOD PROCESSING
299,http://www.moneycontrol.com/india/stockpricequote/personalcare/marico/M13,M13,personalcare,marico,28.22,350.0,1.03,5.56,1.0,66.23,43657.03,1,55.63,60.83,11.98,PERSONAL CARE
300,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/marksanspharma/MP21,MP21,pharmaceuticals,marksanspharma,10.54,5.0,0.16,0.3,1.0,29.05,1266.83,1,51.58,103.17,2.94,PHARMACEUTICALS
301,http://www.moneycontrol.com/india/stockpricequote/autocarsjeeps/marutisuzukiindia/MS24,MS24,autocarsjeeps,marutisuzukiindia,1453.02,1500.0,0.84,255.62,5.0,31.79,270437.17,1,25.81,35.02,6.16,AUTO - CARS & JEEPS
302,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/maxfinancialservices/MI,MI,financeinvestments,maxfinancialservices,68.12,0.0,,4.58,2.0,36.62,12606.15,1,100.78,102.54,6.89,FINANCE - INVESTMENTS
303,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/maxindia/MIL16,MIL16,miscellaneous,maxindia,61.26,0.0,,0.24,2.0,36.62,2097.41,1,289.44,325.63,1.28,MISCELLANEOUS
304,http://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/mcleodrusselindia/MRI02,MRI02,plantationsteacoffee,mcleodrusselindia,165.42,5.0,0.17,6.14,5.0,32.14,1589.3,1,10.6,23.65,0.88,PLANTATIONS - TEA & COFFEE
305,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/multicommodityexchangeindia/MCE,MCE,miscellaneous,multicommodityexchangeindia,320.72,150.0,1.86,20.85,10.0,17.1,4119.65,1,33.49,38.74,2.52,MISCELLANEOUS
306,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/mindaindustries/MI4,MI4,autoancillaries,mindaindustries,75.68,110.0,0.17,15.59,2.0,73.54,11312.64,1,60.05,83.24,17.15,AUTO ANCILLARIES
307,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/mindtree/MT13,MT13,computerssoftware,mindtree,206.11,100.0,1.0,39.64,10.0,21.82,16455.27,1,20.42,25.31,4.87,COMPUTERS - SOFTWARE
308,http://www.moneycontrol.com/india/stockpricequote/trading/mmtc/MMT,MMT,trading,mmtc,9.56,30.0,0.8,0.33,1.0,49.47,5632.5,1,104.31,113.79,3.93,TRADING
309,http://www.moneycontrol.com/india/stockpricequote/miningminerals/moil/M18,M18,miningminerals,moil,105.32,110.0,5.96,15.84,10.0,15.1,4915.96,1,10.15,11.65,1.75,MINING & MINERALS
310,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/monsantoindia/MI39,MI39,pesticidesagrochemicals,monsantoindia,402.13,300.0,1.05,95.33,10.0,39.1,4945.78,1,27.85,30.05,7.12,PESTICIDES & AGRO CHEMICALS
311,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/mothersonsumisystems/MSS01,MSS01,autoancillaries,mothersonsumisystems,11.9,200.0,0.65,4.18,1.0,73.54,64801.42,1,59.08,73.64,25.87,AUTO ANCILLARIES
312,http://www.moneycontrol.com/india/stockpricequote/financegeneral/motilaloswalfinancialservices/MOF01,MOF01,financegeneral,motilaloswalfinancialservices,55.07,250.0,0.29,8.94,1.0,36.62,12591.08,1,92.42,97.07,15.76,FINANCE - GENERAL
313,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/mphasis/MB02,MB02,computerssoftware,mphasis,242.04,170.0,1.58,38.28,10.0,21.82,20781.82,1,26.93,28.09,4.44,COMPUTERS - SOFTWARE
314,http://www.moneycontrol.com/india/stockpricequote/tyres/mrf/MRF,MRF,tyres,mrf,22721.94,600.0,0.08,2575.44,10.0,27.04,31998.41,1,17.8,29.3,3.32,TYRES
315,http://www.moneycontrol.com/india/stockpricequote/refineries/mangalorerefinerypetrochemicals/MRP,MRP,refineries,mangalorerefinerypetrochemicals,70.15,0.0,,12.69,10.0,8.41,15694.52,1,5.42,7.06,1.28,REFINERIES
317,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/muthootfinance/MF10,MF10,financeinvestments,muthootfinance,205.89,60.0,1.55,43.0,10.0,36.62,15459.53,1,8.76,8.99,1.88,FINANCE - INVESTMENTS
318,http://www.moneycontrol.com/india/stockpricequote/aluminium/nationalaluminiumcompany/NAC,NAC,aluminium,nationalaluminiumcompany,59.74,56.0,4.05,6.94,5.0,24.7,13375.87,1,7.34,9.97,1.16,ALUMINIUM
319,http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/narayanahrudayalaya/NH,NH,hospitalsmedicalservices,narayanahrudayalaya,54.65,0.0,,2.97,10.0,48.56,4727.89,1,34.07,77.9,4.23,HOSPITALS & MEDICAL SERVICES
320,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/natcopharma/NP07,NP07,pharmaceuticals,natcopharma,130.08,362.5,0.87,37.84,2.0,29.05,15312.95,1,20.05,21.93,6.38,PHARMACEUTICALS
321,http://www.moneycontrol.com/india/stockpricequote/diversified/navabharatventures/NBV,NBV,diversified,navabharatventures,160.54,50.0,0.69,9.05,2.0,22.07,2606.31,1,13.1,16.13,0.91,DIVERSIFIED
322,http://www.moneycontrol.com/india/stockpricequote/chemicals/navinfluorineinternational/NFI,NFI,chemicals,navinfluorineinternational,151.6,315.0,0.93,36.27,2.0,25.97,3360.57,1,15.48,18.78,4.49,CHEMICALS
323,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/navkarcorporation/NC02,NC02,transportlogistics,navkarcorporation,89.09,0.0,,6.84,10.0,44.24,2144.9,1,17.03,20.83,1.6,TRANSPORT & LOGISTICS
324,http://www.moneycontrol.com/india/stockpricequote/printingstationery/navneeteducation/NP01,NP01,printingstationery,navneeteducation,37.63,125.0,2.01,6.56,2.0,15.58,2908.96,1,16.45,18.99,3.31,PRINTING & STATIONERY
325,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/nbccindia/NBC01,NBC01,infrastructuregeneral,nbccindia,9.3,81.5,0.96,1.85,1.0,30.6,15291.0,1,45.43,45.92,9.13,INFRASTRUCTURE - GENERAL
326,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ncc/NCC01,NCC01,constructioncontractingcivil,ncc,62.23,20.0,0.37,4.77,2.0,30.6,6432.92,1,15.91,22.45,1.72,CONSTRUCTION & CONTRACTING - CIVIL
327,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/nestleindia/NI,NI,foodprocessing,nestleindia,354.77,860.0,0.88,139.24,10.0,64.74,93874.68,1,55.72,69.93,27.44,FOOD PROCESSING
329,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/nhpc/N07,N07,powergenerationdistribution,nhpc,28.95,18.0,6.96,2.69,10.0,11.73,26520.34,1,6.37,9.61,0.89,POWER - GENERATION & DISTRIBUTION
330,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/niit/NII,NII,computerssoftwaretraining,niit,48.49,0.0,,0.31,2.0,103.45,1677.73,1,57.82,324.52,2.07,COMPUTERS - SOFTWARE - TRAINING
331,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/niittechnologies/NII02,NII02,computerssoftware,niittechnologies,217.85,125.0,1.1,36.79,10.0,21.82,6962.77,1,22.55,30.78,5.2,COMPUTERS - SOFTWARE
332,http://www.moneycontrol.com/india/stockpricequote/plastics/nilkamal/NP08,NP08,plastics,nilkamal,534.21,130.0,0.77,78.47,10.0,37.42,2516.61,1,15.2,21.49,3.16,PLASTICS
333,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/nlcindia/NLC,NLC,powergenerationdistribution,nlcindia,91.9,73.4,8.76,12.09,10.0,11.73,12809.4,1,4.73,6.93,0.91,POWER - GENERATION & DISTRIBUTION
334,http://www.moneycontrol.com/india/stockpricequote/miningminerals/nmdc/NMD02,NMD02,miningminerals,nmdc,83.2,515.0,4.56,12.03,1.0,15.1,35751.96,1,8.8,9.39,1.36,MINING & MINERALS
335,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/ntpc/NTP,NTP,powergenerationdistribution,ntpc,129.25,47.8,3.06,12.54,10.0,11.73,128670.47,1,7.38,12.44,1.21,POWER - GENERATION & DISTRIBUTION
336,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/oberoirealty/OR,OR,constructioncontractingrealestate,oberoirealty,131.39,20.0,0.4,12.28,10.0,30.6,17192.36,1,37.64,41.23,3.85,CONSTRUCTION & CONTRACTING - REAL ESTATE
337,http://www.moneycontrol.com/india/stockpricequote/cementmajor/oclindia/OCL,OCL,cementmajor,oclindia,488.16,250.0,0.43,74.21,2.0,36.29,6679.52,1,11.32,15.82,2.4,CEMENT - MAJOR
338,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilindia/OI13,OI13,oildrillingandexploration,oilindia,255.93,95.0,4.29,23.51,10.0,11.73,25104.07,1,6.37,9.41,0.86,OIL DRILLING AND EXPLORATION
339,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/omaxe/O02,O02,constructioncontractingrealestate,omaxe,105.59,7.0,0.32,3.47,10.0,30.6,3985.4,1,57.34,62.8,2.06,CONSTRUCTION & CONTRACTING - REAL ESTATE
340,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilnaturalgascorporation/ONG,ONG,oildrillingandexploration,oilnaturalgascorporation,160.12,121.0,3.66,15.54,5.0,11.73,212325.88,1,6.17,10.65,1.03,OIL DRILLING AND EXPLORATION
341,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/oraclefinancialservicessoftware/OFS01,OFS01,computerssoftware,oraclefinancialservicessoftware,313.2,3400.0,4.16,117.74,5.0,21.82,34888.2,1,32.81,34.68,13.04,COMPUTERS - SOFTWARE
342,http://www.moneycontrol.com/india/stockpricequote/cementmajor/orientcement/OC10,OC10,cementmajor,orientcement,50.34,100.0,0.84,2.16,1.0,36.29,2425.65,1,14.23,54.81,2.35,CEMENT - MAJOR
344,http://www.moneycontrol.com/india/stockpricequote/personalcare/proctergamblehygienehealthcare/PGH,PGH,personalcare,proctergamblehygienehealthcare,162.08,3890.0,4.0,125.71,10.0,66.23,31595.01,1,67.54,77.43,60.05,PERSONAL CARE
345,http://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/pageindustries/PI35,PI35,textilesreadymadeapparels,pageindustries,907.99,970.0,0.37,311.08,10.0,46.7,29627.14,1,79.01,85.39,29.25,TEXTILES - READYMADE APPARELS
346,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/paragmilkfoods/PMF01,PMF01,foodprocessing,paragmilkfoods,88.52,5.0,0.14,9.33,10.0,64.74,2909.52,1,22.86,37.07,3.91,FOOD PROCESSING
347,http://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/pcjeweller/PJ,PJ,diamondcuttingjewellerypreciousmetals,pcjeweller,70.83,10.0,0.64,14.38,10.0,24.92,6208.93,1,10.56,10.95,2.22,DIAMOND CUTTING & JEWELLERY & PRECIOUS METALS
348,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/persistentsystems/PS15,PS15,computerssoftware,persistentsystems,269.57,90.0,1.11,42.76,10.0,21.82,6496.4,1,16.41,18.99,3.01,COMPUTERS - SOFTWARE
349,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/petronetlng/PLN,PLN,oildrillingandexploration,petronetlng,53.88,25.0,1.18,13.85,10.0,15.5,31770.0,1,12.76,15.29,3.93,OIL DRILLING AND EXPLORATION
350,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/pfizer/P,P,pharmaceuticals,pfizer,607.45,200.0,0.77,78.71,10.0,29.05,11841.11,1,27.77,32.88,4.26,PHARMACEUTICALS
351,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/phoenixmills/PM02,PM02,constructioncontractingrealestate,phoenixmills,158.77,120.0,0.37,10.11,2.0,30.6,9847.39,1,50.46,63.59,4.05,CONSTRUCTION & CONTRACTING - REAL ESTATE
352,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/piindustries/PII,PII,pesticidesagrochemicals,piindustries,143.24,400.0,0.5,26.58,1.0,39.1,10992.59,1,24.47,29.99,5.56,PESTICIDES & AGRO CHEMICALS
353,http://www.moneycontrol.com/india/stockpricequote/chemicals/pidiliteindustries/PI11,PI11,chemicals,pidiliteindustries,85.74,475.0,0.44,18.81,1.0,42.85,55080.76,1,52.63,57.66,12.65,CHEMICALS
354,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/piramalenterprises/PH05,PH05,pharmaceuticals,piramalenterprises,897.64,1050.0,0.84,28.71,2.0,29.05,45150.84,1,71.66,87.08,2.79,PHARMACEUTICALS
356,http://www.moneycontrol.com/india/stockpricequote/financehousing/pnbhousingfinance/PHF,PHF,financehousing,pnbhousingfinance,382.8,60.0,0.55,49.61,10.0,23.49,18363.38,1,21.48,22.11,2.86,FINANCE - HOUSING
357,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/pncinfratech/PI26,PI26,constructioncontractingrealestate,pncinfratech,71.07,25.0,0.29,9.79,2.0,30.6,4388.1,1,13.36,17.47,2.41,CONSTRUCTION & CONTRACTING - REAL ESTATE
358,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/polarisconsultingservices/PSL01,PSL01,computerssoftware,polarisconsultingservices,73.78,0.0,,17.55,5.0,21.82,4820.23,1,23.56,26.65,6.34,COMPUTERS - SOFTWARE
359,http://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/powerfinancecorporation/PFC02,PFC02,financetermlendinginstitutions,powerfinancecorporation,160.32,50.0,6.06,22.18,10.0,5.8,21767.47,1,3.71,3.72,0.51,FINANCE - TERM LENDING INSTITUTIONS
360,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/powergridcorporationindia/PGC,PGC,powergenerationdistribution,powergridcorporationindia,110.95,10.0,0.5,15.75,10.0,14.41,103847.05,1,5.99,12.6,1.79,POWER - GENERATION & DISTRIBUTION
361,http://www.moneycontrol.com/india/stockpricequote/engineeringheavy/prajindustries/PI17,PI17,engineeringheavy,prajindustries,39.43,81.0,1.86,1.74,2.0,23.24,1577.3,1,29.88,49.97,2.21,ENGINEERING - HEAVY
362,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/prestigeestatesprojects/PEP02,PEP02,constructioncontractingrealestate,prestigeestatesprojects,132.66,12.0,0.44,6.19,10.0,30.6,10325.63,1,35.9,44.48,2.08,CONSTRUCTION & CONTRACTING - REAL ESTATE
363,http://www.moneycontrol.com/india/stockpricequote/cementmajor/prismjohnson/PC,PC,cementmajor,prismjohnson,20.38,0.0,,1.4,10.0,36.29,5476.52,1,24.5,77.71,5.34,CEMENT - MAJOR
364,http://www.moneycontrol.com/india/stockpricequote/trading/ptcindia/PTC02,PTC02,trading,ptcindia,114.66,30.0,3.62,10.78,10.0,11.73,2455.39,1,7.62,7.69,0.72,TRADING
365,http://www.moneycontrol.com/india/stockpricequote/financetermlendinginstitutions/ptcindiafinancialservices/PIF02,PIF02,financetermlendinginstitutions,ptcindiafinancialservices,38.05,15.0,8.04,0.38,10.0,36.62,1197.86,1,42.39,49.08,0.49,FINANCE - TERM LENDING INSTITUTIONS
366,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/pvr/PVR,PVR,mediaentertainment,pvr,229.87,20.0,0.14,25.98,10.0,35.36,6572.61,1,25.03,54.13,6.12,MEDIA & ENTERTAINMENT
367,http://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/radicokhaitan/RK01,RK01,breweriesdistilleries,radicokhaitan,86.52,40.0,0.2,9.26,2.0,69.28,5250.31,1,31.94,42.53,4.55,BREWERIES & DISTILLERIES
368,http://www.moneycontrol.com/india/stockpricequote/cementmajor/rainindustries/RC12,RC12,cementmajor,rainindustries,27.43,50.0,0.47,0.92,2.0,36.29,7194.43,1,227.55,232.5,7.8,CEMENT - MAJOR
369,http://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/rajeshexports/RE07,RE07,diamondcuttingjewellerypreciousmetals,rajeshexports,141.66,110.0,0.18,14.94,1.0,24.92,17752.51,1,40.11,40.24,4.24,DIAMOND CUTTING & JEWELLERY & PRECIOUS METALS
370,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/rallisindia/RI03,RI03,pesticidesagrochemicals,rallisindia,60.62,250.0,1.23,7.28,1.0,39.1,3956.47,1,21.74,27.95,3.36,PESTICIDES & AGRO CHEMICALS
371,http://www.moneycontrol.com/india/stockpricequote/cementmajor/theramcocements/MC,MC,cementmajor,theramcocements,155.92,300.0,0.41,23.15,1.0,36.29,17533.9,1,20.68,31.56,4.69,CEMENT - MAJOR
372,http://www.moneycontrol.com/india/stockpricequote/fertilisers/rashtriyachemicalsfertilisers/RCF01,RCF01,fertilisers,rashtriyachemicalsfertilisers,54.45,11.0,1.41,1.43,10.0,14.8,4303.17,1,19.95,54.55,1.43,FERTILISERS
373,http://www.moneycontrol.com/india/stockpricequote/steeltubespipes/ratnamanimetalstubes/RMT,RMT,steeltubespipes,ratnamanimetalstubes,286.49,275.0,0.54,32.48,2.0,19.46,4759.48,1,22.41,31.36,3.56,STEEL - TUBES & PIPES
375,http://www.moneycontrol.com/india/stockpricequote/textileswoollenworsted/raymond/R,R,textileswoollenworsted,raymond,214.57,30.0,0.3,15.98,10.0,60.57,6047.24,1,31.21,61.65,4.59,TEXTILES - WOOLLEN & WORSTED
376,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/rblbank/RB03,RB03,banksprivatesector,rblbank,158.94,18.0,0.32,15.1,10.0,32.64,23543.05,1,37.07,37.07,3.52,BANKS - PRIVATE SECTOR
