,DETAIL,magnitude,parameter
249,AC18,22.01,P/C
250,AC18,2.00,PRICE/BOOK
251,AC18,1.37%,DIV YIELD.(%)
252,AC18,2.00,FACE VALUE (Rs)
253,AB14,"4,237.87",MARKET CAP (Rs Cr)
254,AB14,-,P/E
255,AB14,90.24,BOOK VALUE (Rs)
256,AB14,0.00%,DIV (%)
257,AB14,1,Market Lot
258,AB14,12.43,INDUSTRY P/E
259,AB14,-,EPS (TTM)
260,AB14,-,P/C
261,AB14,0.39,PRICE/BOOK
262,AB14,-%,DIV YIELD.(%)
263,AB14,10.00,FACE VALUE (Rs)
264,AI40,"2,748.64",MARKET CAP (Rs Cr)
265,AI40,19.08,P/E
266,AI40,285.38,BOOK VALUE (Rs)
267,AI40,100.00%,DIV (%)
268,AI40,1,Market Lot
269,AI40,16.93,INDUSTRY P/E
270,AI40,37.65,EPS (TTM)
271,AI40,14.19,P/C
272,AI40,2.52,PRICE/BOOK
273,AI40,1.39%,DIV YIELD.(%)
274,AI40,10.00,FACE VALUE (Rs)
275,BT09,"4,268.99",MARKET CAP (Rs Cr)
276,BT09,40.59,P/E
277,BT09,213.34,BOOK VALUE (Rs)
278,BT09,120.00%,DIV (%)
279,BT09,1,Market Lot
280,BT09,19.46,INDUSTRY P/E
281,BT09,44.32,EPS (TTM)
282,BT09,28.62,P/C
283,BT09,8.43,PRICE/BOOK
284,BT09,0.67%,DIV YIELD.(%)
285,BT09,10.00,FACE VALUE (Rs)
286,AHE,"14,327.80",MARKET CAP (Rs Cr)
287,AHE,61.45,P/E
288,AHE,274.01,BOOK VALUE (Rs)
289,AHE,120.00%,DIV (%)
290,AHE,1,Market Lot
291,AHE,48.56,INDUSTRY P/E
292,AHE,16.76,EPS (TTM)
293,AHE,28.36,P/C
294,AHE,3.76,PRICE/BOOK
295,AHE,0.58%,DIV YIELD.(%)
296,AHE,5.00,FACE VALUE (Rs)
297,AT14,"15,405.31",MARKET CAP (Rs Cr)
298,AT14,24.75,P/E
299,AT14,104.18,BOOK VALUE (Rs)
300,AT14,300.00%,DIV (%)
301,AT14,1,Market Lot
302,AT14,27.04,INDUSTRY P/E
303,AT14,10.88,EPS (TTM)
304,AT14,15.61,P/C
305,AT14,2.58,PRICE/BOOK
306,AT14,1.11%,DIV YIELD.(%)
307,AT14,1.00,FACE VALUE (Rs)
308,A18,"10,717.09",MARKET CAP (Rs Cr)
309,A18,43.94,P/E
310,A18,135.03,BOOK VALUE (Rs)
311,A18,24.00%,DIV (%)
312,A18,1,Market Lot
313,A18,36.23,INDUSTRY P/E
314,A18,9.43,EPS (TTM)
315,A18,23.68,P/C
316,A18,3.07,PRICE/BOOK
317,A18,0.58%,DIV YIELD.(%)
318,A18,10.00,FACE VALUE (Rs)
319,AIG01,"8,333.12",MARKET CAP (Rs Cr)
320,AIG01,44.99,P/E
321,AIG01,28.21,BOOK VALUE (Rs)
322,AIG01,100.00%,DIV (%)
323,AIG01,1,Market Lot
324,AIG01,41.97,INDUSTRY P/E
325,AIG01,7.62,EPS (TTM)
326,AIG01,30.07,P/C
327,AIG01,12.15,PRICE/BOOK
328,AIG01,0.29%,DIV YIELD.(%)
329,AIG01,1.00,FACE VALUE (Rs)
330,AL,"41,737.51",MARKET CAP (Rs Cr)
331,AL,26.73,P/E
332,AL,26.23,BOOK VALUE (Rs)
333,AL,156.00%,DIV (%)
334,AL,1,Market Lot
335,AL,37.26,INDUSTRY P/E
336,AL,5.32,EPS (TTM)
337,AL,19.72,P/C
338,AL,5.42,PRICE/BOOK
339,AL,1.10%,DIV YIELD.(%)
340,AL,1.00,FACE VALUE (Rs)
341,AB,"4,420.45",MARKET CAP (Rs Cr)
342,AB,17.54,P/E
