,DETAIL,magnitude,parameter
1393,EC01,197.44,P/C
1394,EC01,16.80,PRICE/BOOK
1395,EC01,0.41%,DIV YIELD.(%)
1396,EC01,1.00,FACE VALUE (Rs)
1397,EM,"80,421.31",MARKET CAP (Rs Cr)
1398,EM,46.95,P/E
1399,EM,2067.67,BOOK VALUE (Rs)
1400,EM,1000.00%,DIV (%)
1401,EM,1,Market Lot
1402,EM,37.26,INDUSTRY P/E
1403,EM,628.46,EPS (TTM)
1404,EM,41.56,P/C
1405,EM,14.27,PRICE/BOOK
1406,EM,0.34%,DIV YIELD.(%)
1407,EM,10.00,FACE VALUE (Rs)
1408,EID,"3,962.03",MARKET CAP (Rs Cr)
1409,EID,39.20,P/E
1410,EID,89.19,BOOK VALUE (Rs)
1411,EID,400.00%,DIV (%)
1412,EID,1,Market Lot
1413,EID,10.33,INDUSTRY P/E
1414,EID,5.71,EPS (TTM)
1415,EID,18.52,P/C
1416,EID,2.51,PRICE/BOOK
1417,EID,1.79%,DIV YIELD.(%)
1418,EID,1.00,FACE VALUE (Rs)
1419,EIH,"9,951.02",MARKET CAP (Rs Cr)
1420,EIH,88.83,P/E
1421,EIH,46.74,BOOK VALUE (Rs)
1422,EIH,45.00%,DIV (%)
1423,EIH,1,Market Lot
1424,EIH,69.32,INDUSTRY P/E
1425,EIH,1.96,EPS (TTM)
1426,EIH,44.99,P/C
1427,EIH,3.72,PRICE/BOOK
1428,EIH,0.52%,DIV YIELD.(%)
1429,EIH,2.00,FACE VALUE (Rs)
1430,EE01,"4,227.57",MARKET CAP (Rs Cr)
1431,EE01,55.01,P/E
1432,EE01,38.98,BOOK VALUE (Rs)
1433,EE01,100.00%,DIV (%)
1434,EE01,1,Market Lot
1435,EE01,32.28,INDUSTRY P/E
1436,EE01,4.85,EPS (TTM)
1437,EE01,37.31,P/C
1438,EE01,6.84,PRICE/BOOK
1439,EE01,0.37%,DIV YIELD.(%)
1440,EE01,1.00,FACE VALUE (Rs)
1441,E06,"25,071.98",MARKET CAP (Rs Cr)
1442,E06,80.99,P/E
1443,E06,89.09,BOOK VALUE (Rs)
1444,E06,700.00%,DIV (%)
1445,E06,1,Market Lot
1446,E06,66.23,INDUSTRY P/E
1447,E06,13.64,EPS (TTM)
1448,E06,40.78,P/C
1449,E06,12.40,PRICE/BOOK
1450,E06,0.63%,DIV YIELD.(%)
1451,E06,1.00,FACE VALUE (Rs)
1452,ET01,"17,876.14",MARKET CAP (Rs Cr)
1453,ET01,65.81,P/E
1454,ET01,130.43,BOOK VALUE (Rs)
1455,ET01,25.00%,DIV (%)
1456,ET01,1,Market Lot
1457,ET01,39.04,INDUSTRY P/E
1458,ET01,19.31,EPS (TTM)
1459,ET01,40.51,P/C
1460,ET01,9.74,PRICE/BOOK
1461,ET01,0.20%,DIV YIELD.(%)
1462,ET01,10.00,FACE VALUE (Rs)
1463,EI14,"8,221.17",MARKET CAP (Rs Cr)
1464,EI14,21.76,P/E
1465,EI14,49.58,BOOK VALUE (Rs)
1466,EI14,60.00%,DIV (%)
1467,EI14,1,Market Lot
1468,EI14,29.04,INDUSTRY P/E
1469,EI14,5.98,EPS (TTM)
1470,EI14,20.46,P/C
1471,EI14,2.62,PRICE/BOOK
1472,EI14,2.31%,DIV YIELD.(%)
1473,EI14,5.00,FACE VALUE (Rs)
1474,ENI,"3,176.99",MARKET CAP (Rs Cr)
1475,ENI,90.30,P/E
1476,ENI,186.66,BOOK VALUE (Rs)
1477,ENI,10.00%,DIV (%)
1478,ENI,1,Market Lot
1479,ENI,35.36,INDUSTRY P/E
1480,ENI,7.38,EPS (TTM)
1481,ENI,32.21,P/C
1482,ENI,3.57,PRICE/BOOK
1483,ENI,0.15%,DIV YIELD.(%)
1484,ENI,10.00,FACE VALUE (Rs)
1485,EH03,"5,145.75",MARKET CAP (Rs Cr)
1486,EH03,944.06,P/E
1487,EH03,49.41,BOOK VALUE (Rs)
1488,EH03,0.00%,DIV (%)
1489,EH03,1,Market Lot
1490,EH03,36.62,INDUSTRY P/E
1491,EH03,0.16,EPS (TTM)
1492,EH03,839.17,P/C
1493,EH03,3.06,PRICE/BOOK
1494,EH03,-%,DIV YIELD.(%)
1495,EH03,10.00,FACE VALUE (Rs)
1496,EIM,"1,258.74",MARKET CAP (Rs Cr)
1497,EIM,16.34,P/E
1498,EIM,142.12,BOOK VALUE (Rs)
1499,EIM,0.00%,DIV (%)
1500,EIM,1,Market Lot
1501,EIM,35.36,INDUSTRY P/E
1502,EIM,8.10,EPS (TTM)
1503,EIM,15.14,P/C
1504,EIM,0.93,PRICE/BOOK
1505,EIM,-%,DIV YIELD.(%)
1506,EIM,10.00,FACE VALUE (Rs)
1507,E,"11,228.65",MARKET CAP (Rs Cr)
1508,E,32.58,P/E
1509,E,190.56,BOOK VALUE (Rs)
1510,E,15.00%,DIV (%)
1511,E,1,Market Lot
1512,E,29.77,INDUSTRY P/E
1513,E,28.12,EPS (TTM)
1514,E,26.91,P/C
1515,E,4.81,PRICE/BOOK
1516,E,0.16%,DIV YIELD.(%)
1517,E,10.00,FACE VALUE (Rs)
1518,EP11,"3,909.11",MARKET CAP (Rs Cr)
1519,EP11,48.20,P/E
1520,EP11,41.65,BOOK VALUE (Rs)
1521,EP11,120.00%,DIV (%)
1522,EP11,1,Market Lot
1523,EP11,24.28,INDUSTRY P/E
1524,EP11,5.16,EPS (TTM)
1525,EP11,26.10,P/C
1526,EP11,5.97,PRICE/BOOK
1527,EP11,0.97%,DIV YIELD.(%)
1528,EP11,2.00,FACE VALUE (Rs)
1529,EII02,"1,815.73",MARKET CAP (Rs Cr)
1530,EII02,33.17,P/E
1531,EII02,47.36,BOOK VALUE (Rs)
1532,EII02,20.00%,DIV (%)
1533,EII02,1,Market Lot
1534,EII02,20.97,INDUSTRY P/E
1535,EII02,7.53,EPS (TTM)
1536,EII02,24.54,P/C
1537,EII02,5.27,PRICE/BOOK
1538,EII02,0.40%,DIV YIELD.(%)
1539,EII02,5.00,FACE VALUE (Rs)
1540,EI,"21,309.50",MARKET CAP (Rs Cr)
1541,EI,31.90,P/E
1542,EI,66.26,BOOK VALUE (Rs)
1543,EI,240.00%,DIV (%)
1544,EI,1,Market Lot
1545,EI,30.46,INDUSTRY P/E
1546,EI,7.86,EPS (TTM)
1547,EI,23.30,P/C
1548,EI,3.78,PRICE/BOOK
1549,EI,0.96%,DIV YIELD.(%)
1550,EI,1.00,FACE VALUE (Rs)
1551,FDC,"4,400.19",MARKET CAP (Rs Cr)
1552,FDC,26.15,P/E
1553,FDC,82.09,BOOK VALUE (Rs)
1554,FDC,225.00%,DIV (%)
1555,FDC,1,Market Lot
1556,FDC,29.05,INDUSTRY P/E
1557,FDC,9.65,EPS (TTM)
1558,FDC,21.64,P/C
1559,FDC,3.07,PRICE/BOOK
1560,FDC,0.89%,DIV YIELD.(%)
1561,FDC,1.00,FACE VALUE (Rs)
1562,FB,"16,602.16",MARKET CAP (Rs Cr)
1563,FB,18.91,P/E
1564,FB,45.47,BOOK VALUE (Rs)
1565,FB,45.00%,DIV (%)
1566,FB,1,Market Lot
1567,FB,32.64,INDUSTRY P/E
1568,FB,4.44,EPS (TTM)
1569,FB,18.91,P/C
1570,FB,1.85,PRICE/BOOK
1571,FB,1.07%,DIV YIELD.(%)
1572,FB,2.00,FACE VALUE (Rs)
1573,FC01,"10,287.47",MARKET CAP (Rs Cr)
1574,FC01,28.72,P/E
1575,FC01,146.18,BOOK VALUE (Rs)
1576,FC01,150.00%,DIV (%)
1577,FC01,1,Market Lot
1578,FC01,31.64,INDUSTRY P/E
1579,FC01,23.42,EPS (TTM)
1580,FC01,25.60,P/C
1581,FC01,4.60,PRICE/BOOK
1582,FC01,0.45%,DIV YIELD.(%)
1583,FC01,2.00,FACE VALUE (Rs)
1584,FI,"7,377.47",MARKET CAP (Rs Cr)
1585,FI,24.71,P/E
1586,FI,208.71,BOOK VALUE (Rs)
1587,FI,115.00%,DIV (%)
1588,FI,1,Market Lot
1589,FI,26.73,INDUSTRY P/E
1590,FI,24.06,EPS (TTM)
1591,FI,20.54,P/C
1592,FI,2.85,PRICE/BOOK
1593,FI,1.93%,DIV YIELD.(%)
1594,FI,10.00,FACE VALUE (Rs)
1595,FS07,"5,658.78",MARKET CAP (Rs Cr)
1596,FS07,29.46,P/E
1597,FS07,29.16,BOOK VALUE (Rs)
1598,FS07,0.00%,DIV (%)
1599,FS07,1,Market Lot
1600,FS07,23.52,INDUSTRY P/E
1601,FS07,2.79,EPS (TTM)
1602,FS07,26.52,P/C
1603,FS07,2.82,PRICE/BOOK
1604,FS07,-%,DIV YIELD.(%)
1605,FS07,10.00,FACE VALUE (Rs)
1606,FM01,"3,599.10",MARKET CAP (Rs Cr)
1607,FM01,24.49,P/E
1608,FM01,1375.47,BOOK VALUE (Rs)
1609,FM01,100.00%,DIV (%)
1610,FM01,1,Market Lot
1611,FM01,37.26,INDUSTRY P/E
1612,FM01,111.53,EPS (TTM)
1613,FM01,13.03,P/C
1614,FM01,1.99,PRICE/BOOK
1615,FM01,0.37%,DIV YIELD.(%)
1616,FM01,10.00,FACE VALUE (Rs)
1617,FH,"7,196.37",MARKET CAP (Rs Cr)
1618,FH,-,P/E
1619,FH,82.38,BOOK VALUE (Rs)
1620,FH,0.00%,DIV (%)
1621,FH,1,Market Lot
1622,FH,48.56,INDUSTRY P/E
1623,FH,-,EPS (TTM)
1624,FH,289.06,P/C
1625,FH,1.68,PRICE/BOOK
1626,FH,-%,DIV YIELD.(%)
1627,FH,10.00,FACE VALUE (Rs)
1628,FVI,"10,295.35",MARKET CAP (Rs Cr)
1629,FVI,316.47,P/E
1630,FVI,6.78,BOOK VALUE (Rs)
1631,FVI,0.00%,DIV (%)
1632,FVI,1,Market Lot
1633,FVI,39.36,INDUSTRY P/E
1634,FVI,0.17,EPS (TTM)
1635,FVI,179.33,P/C
1636,FVI,7.94,PRICE/BOOK
1637,FVI,-%,DIV YIELD.(%)
1638,FVI,6.00,FACE VALUE (Rs)
1639,FLF01,"8,220.85",MARKET CAP (Rs Cr)
1640,FLF01,74.34,P/E
1641,FLF01,93.56,BOOK VALUE (Rs)
1642,FLF01,40.00%,DIV (%)
1643,FLF01,1,Market Lot
1644,FLF01,74.38,INDUSTRY P/E
1645,FLF01,5.80,EPS (TTM)
1646,FLF01,31.64,P/C
1647,FLF01,4.61,PRICE/BOOK
1648,FLF01,0.19%,DIV YIELD.(%)
1649,FLF01,2.00,FACE VALUE (Rs)
1650,FR,"27,939.22",MARKET CAP (Rs Cr)
1651,FR,"1,356.10",P/E
1652,FR,51.17,BOOK VALUE (Rs)
1653,FR,0.00%,DIV (%)
1654,FR,1,Market Lot
1655,FR,151.28,INDUSTRY P/E
1656,FR,0.41,EPS (TTM)
1657,FR,378.23,P/C
1658,FR,10.87,PRICE/BOOK
1659,FR,-%,DIV YIELD.(%)
1660,FR,2.00,FACE VALUE (Rs)
1661,GAI,"75,544.88",MARKET CAP (Rs Cr)
1662,GAI,16.36,P/E
1663,GAI,169.17,BOOK VALUE (Rs)
1664,GAI,112.00%,DIV (%)
1665,GAI,1,Market Lot
1666,GAI,11.73,INDUSTRY P/E
1667,GAI,20.48,EPS (TTM)
1668,GAI,12.52,P/C
1669,GAI,1.98,PRICE/BOOK
1670,GAI,3.34%,DIV YIELD.(%)
1671,GAI,10.00,FACE VALUE (Rs)
1672,GD01,"1,936.45",MARKET CAP (Rs Cr)
1673,GD01,50.89,P/E
1674,GD01,74.05,BOOK VALUE (Rs)
1675,GD01,70.00%,DIV (%)
1676,GD01,1,Market Lot
1677,GD01,39.36,INDUSTRY P/E
1678,GD01,3.50,EPS (TTM)
1679,GD01,31.08,P/C
1680,GD01,2.41,PRICE/BOOK
1681,GD01,3.93%,DIV YIELD.(%)
1682,GD01,10.00,FACE VALUE (Rs)
1683,G04,971.76,MARKET CAP (Rs Cr)
1684,G04,28.18,P/E
1685,G04,58.33,BOOK VALUE (Rs)
1686,G04,40.00%,DIV (%)
1687,G04,1,Market Lot
1688,G04,52.73,INDUSTRY P/E
1689,G04,3.18,EPS (TTM)
1690,G04,24.68,P/C
1691,G04,1.54,PRICE/BOOK
1692,G04,0.89%,DIV YIELD.(%)
1693,G04,2.00,FACE VALUE (Rs)
1694,GP10,"3,280.66",MARKET CAP (Rs Cr)
1695,GP10,17.44,P/E
1696,GP10,49.74,BOOK VALUE (Rs)
1697,GP10,0.00%,DIV (%)
1698,GP10,1,Market Lot
1699,GP10,30.60,INDUSTRY P/E
1700,GP10,10.05,EPS (TTM)
1701,GP10,13.51,P/C
1702,GP10,3.52,PRICE/BOOK
1703,GP10,-%,DIV YIELD.(%)
1704,GP10,2.00,FACE VALUE (Rs)
1705,AP29,"5,581.22",MARKET CAP (Rs Cr)
1706,AP29,210.18,P/E
1707,AP29,127.48,BOOK VALUE (Rs)
1708,AP29,30.00%,DIV (%)
1709,AP29,1,Market Lot
1710,AP29,14.41,INDUSTRY P/E
1711,AP29,3.95,EPS (TTM)
1712,AP29,72.13,P/C
1713,AP29,6.51,PRICE/BOOK
1714,AP29,0.36%,DIV YIELD.(%)
1715,AP29,10.00,FACE VALUE (Rs)
1716,GES,"4,794.71",MARKET CAP (Rs Cr)
1717,GES,29.94,P/E
1718,GES,352.99,BOOK VALUE (Rs)
1719,GES,101.00%,DIV (%)
1720,GES,1,Market Lot
1721,GES,18.22,INDUSTRY P/E
1722,GES,10.62,EPS (TTM)
1723,GES,7.36,P/C
1724,GES,0.90,PRICE/BOOK
1725,GES,3.18%,DIV YIELD.(%)
1726,GES,10.00,FACE VALUE (Rs)
1727,ATD,"7,908.00",MARKET CAP (Rs Cr)
1728,ATD,37.90,P/E
1729,ATD,48.49,BOOK VALUE (Rs)
1730,ATD,90.00%,DIV (%)
1731,ATD,1,Market Lot
1732,ATD,14.41,INDUSTRY P/E
1733,ATD,8.15,EPS (TTM)
1734,ATD,26.49,P/C
1735,ATD,6.37,PRICE/BOOK
1736,ATD,0.58%,DIV YIELD.(%)
1737,ATD,2.00,FACE VALUE (Rs)
1738,GIC,"2,072.19",MARKET CAP (Rs Cr)
1739,GIC,11.24,P/E
1740,GIC,189.90,BOOK VALUE (Rs)
1741,GIC,50.00%,DIV (%)
1742,GIC,1,Market Lot
1743,GIC,23.49,INDUSTRY P/E
1744,GIC,34.25,EPS (TTM)
1745,GIC,11.20,P/C
1746,GIC,2.03,PRICE/BOOK
1747,GIC,1.30%,DIV YIELD.(%)
1748,GIC,10.00,FACE VALUE (Rs)
1749,GI22,"21,283.03",MARKET CAP (Rs Cr)
1750,GI22,91.70,P/E
1751,GI22,153.63,BOOK VALUE (Rs)
1752,GI22,1640.00%,DIV (%)
1753,GI22,1,Market Lot
1754,GI22,66.23,INDUSTRY P/E
1755,GI22,71.23,EPS (TTM)
1756,GI22,78.69,P/C
1757,GI22,42.51,PRICE/BOOK
1758,GI22,2.51%,DIV YIELD.(%)
1759,GI22,10.00,FACE VALUE (Rs)
1760,GSC04,"25,968.45",MARKET CAP (Rs Cr)
1761,GSC04,37.09,P/E
1762,GSC04,908.98,BOOK VALUE (Rs)
1763,GSC04,700.00%,DIV (%)
1764,GSC04,1,Market Lot
1765,GSC04,64.74,INDUSTRY P/E
1766,GSC04,166.47,EPS (TTM)
1767,GSC04,33.97,P/C
1768,GSC04,6.79,PRICE/BOOK
1769,GSC04,1.13%,DIV YIELD.(%)
1770,GSC04,10.00,FACE VALUE (Rs)
1771,GSK,"23,247.59",MARKET CAP (Rs Cr)
1772,GSK,66.06,P/E
1773,GSK,281.00,BOOK VALUE (Rs)
1774,GSK,300.00%,DIV (%)
1775,GSK,1,Market Lot
1776,GSK,29.05,INDUSTRY P/E
1777,GSK,41.55,EPS (TTM)
1778,GSK,59.61,P/C
1779,GSK,9.77,PRICE/BOOK
1780,GSK,1.09%,DIV YIELD.(%)
1781,GSK,10.00,FACE VALUE (Rs)
1782,GP08,"16,533.64",MARKET CAP (Rs Cr)
1783,GP08,16.30,P/E
1784,GP08,370.38,BOOK VALUE (Rs)
1785,GP08,200.00%,DIV (%)
1786,GP08,1,Market Lot
1787,GP08,29.05,INDUSTRY P/E
1788,GP08,35.95,EPS (TTM)
1789,GP08,14.60,P/C
1790,GP08,1.58,PRICE/BOOK
1791,GP08,0.34%,DIV YIELD.(%)
1792,GP08,1.00,FACE VALUE (Rs)
1793,GI27,"9,597.15",MARKET CAP (Rs Cr)
1794,GI27,-,P/E
1795,GI27,7.60,BOOK VALUE (Rs)
1796,GI27,0.00%,DIV (%)
1797,GI27,1,Market Lot
1798,GI27,22.48,INDUSTRY P/E
1799,GI27,-,EPS (TTM)
1800,GI27,-,P/C
1801,GI27,2.09,PRICE/BOOK
1802,GI27,-%,DIV YIELD.(%)
1803,GI27,1.00,FACE VALUE (Rs)
1804,GNV,"7,281.37",MARKET CAP (Rs Cr)
1805,GNV,9.22,P/E
1806,GNV,295.40,BOOK VALUE (Rs)
1807,GNV,50.00%,DIV (%)
1808,GNV,1,Market Lot
1809,GNV,14.80,INDUSTRY P/E
1810,GNV,50.80,EPS (TTM)
1811,GNV,6.87,P/C
1812,GNV,1.59,PRICE/BOOK
1813,GNV,1.07%,DIV YIELD.(%)
1814,GNV,10.00,FACE VALUE (Rs)
1815,GPI,"3,820.25",MARKET CAP (Rs Cr)
1816,GPI,23.76,P/E
1817,GPI,337.08,BOOK VALUE (Rs)
1818,GPI,400.00%,DIV (%)
1819,GPI,1,Market Lot
1820,GPI,28.93,INDUSTRY P/E
1821,GPI,30.92,EPS (TTM)
1822,GPI,14.90,P/C
1823,GPI,2.18,PRICE/BOOK
1824,GPI,1.09%,DIV YIELD.(%)
1825,GPI,2.00,FACE VALUE (Rs)
1826,GCP,"79,245.44",MARKET CAP (Rs Cr)
1827,GCP,79.23,P/E
1828,GCP,64.55,BOOK VALUE (Rs)
1829,GCP,1500.00%,DIV (%)
1830,GCP,1,Market Lot
1831,GCP,66.23,INDUSTRY P/E
1832,GCP,14.68,EPS (TTM)
1833,GCP,74.56,P/C
1834,GCP,18.02,PRICE/BOOK
1835,GCP,1.29%,DIV YIELD.(%)
1836,GCP,1.00,FACE VALUE (Rs)
1837,GI23,"20,687.43",MARKET CAP (Rs Cr)
1838,GI23,85.65,P/E
1839,GI23,55.22,BOOK VALUE (Rs)
1840,GI23,175.00%,DIV (%)
1841,GI23,1,Market Lot
1842,GI23,66.23,INDUSTRY P/E
1843,GI23,7.18,EPS (TTM)
1844,GI23,66.70,P/C
1845,GI23,11.14,PRICE/BOOK
1846,GI23,0.28%,DIV YIELD.(%)
1847,GI23,1.00,FACE VALUE (Rs)
1848,GP11,"17,532.73",MARKET CAP (Rs Cr)
1849,GP11,83.38,P/E
1850,GP11,95.58,BOOK VALUE (Rs)
1851,GP11,0.00%,DIV (%)
1852,GP11,1,Market Lot
1853,GP11,30.60,INDUSTRY P/E
1854,GP11,9.17,EPS (TTM)
1855,GP11,77.94,P/C
1856,GP11,8.00,PRICE/BOOK
1857,GP11,-%,DIV YIELD.(%)
1858,GP11,5.00,FACE VALUE (Rs)
1859,GI25,"2,260.42",MARKET CAP (Rs Cr)
1860,GI25,16.25,P/E
1861,GI25,40.42,BOOK VALUE (Rs)
1862,GI25,25.00%,DIV (%)
1863,GI25,1,Market Lot
1864,GI25,29.05,INDUSTRY P/E
1865,GI25,5.48,EPS (TTM)
1866,GI25,10.51,P/C
1867,GI25,2.20,PRICE/BOOK
1868,GI25,0.28%,DIV YIELD.(%)
1869,GI25,1.00,FACE VALUE (Rs)
1870,GI01,"67,808.36",MARKET CAP (Rs Cr)
1871,GI01,38.34,P/E
1872,GI01,247.47,BOOK VALUE (Rs)
1873,GI01,275.00%,DIV (%)
1874,GI01,1,Market Lot
1875,GI01,22.07,INDUSTRY P/E
1876,GI01,26.90,EPS (TTM)
1877,GI01,28.30,P/C
1878,GI01,4.17,PRICE/BOOK
1879,GI01,0.53%,DIV YIELD.(%)
1880,GI01,2.00,FACE VALUE (Rs)
1881,GC20,"3,251.61",MARKET CAP (Rs Cr)
1882,GC20,16.04,P/E
1883,GC20,46.01,BOOK VALUE (Rs)
1884,GC20,275.00%,DIV (%)
1885,GC20,1,Market Lot
1886,GC20,25.13,INDUSTRY P/E
1887,GC20,8.30,EPS (TTM)
1888,GC20,12.75,P/C
1889,GC20,2.89,PRICE/BOOK
1890,GC20,4.13%,DIV YIELD.(%)
1891,GC20,2.00,FACE VALUE (Rs)
1892,GI19,"3,054.65",MARKET CAP (Rs Cr)
1893,GI19,22.50,P/E
1894,GI19,75.25,BOOK VALUE (Rs)
1895,GI19,60.00%,DIV (%)
1896,GI19,1,Market Lot
1897,GI19,28.52,INDUSTRY P/E
1898,GI19,11.07,EPS (TTM)
1899,GI19,16.92,P/C
1900,GI19,3.31,PRICE/BOOK
1901,GI19,0.24%,DIV YIELD.(%)
1902,GI19,1.00,FACE VALUE (Rs)
1903,GN,"5,811.14",MARKET CAP (Rs Cr)
1904,GN,39.49,P/E
1905,GN,93.18,BOOK VALUE (Rs)
1906,GN,80.00%,DIV (%)
1907,GN,1,Market Lot
1908,GN,41.14,INDUSTRY P/E
1909,GN,13.29,EPS (TTM)
1910,GN,30.69,P/C
1911,GN,5.63,PRICE/BOOK
1912,GN,0.76%,DIV YIELD.(%)
1913,GN,5.00,FACE VALUE (Rs)
1914,GRU,"23,592.60",MARKET CAP (Rs Cr)
1915,GRU,65.03,P/E
1916,GRU,18.88,BOOK VALUE (Rs)
1917,GRU,165.00%,DIV (%)
1918,GRU,1,Market Lot
1919,GRU,23.49,INDUSTRY P/E
1920,GRU,4.96,EPS (TTM)
1921,GRU,64.51,P/C
1922,GRU,17.08,PRICE/BOOK
1923,GRU,1.02%,DIV YIELD.(%)
1924,GRU,2.00,FACE VALUE (Rs)
1925,GSF,"4,542.64",MARKET CAP (Rs Cr)
1926,GSF,9.55,P/E
1927,GSF,176.95,BOOK VALUE (Rs)
1928,GSF,110.00%,DIV (%)
1929,GSF,1,Market Lot
1930,GSF,14.80,INDUSTRY P/E
1931,GSF,11.94,EPS (TTM)
1932,GSF,7.64,P/C
1933,GSF,0.64,PRICE/BOOK
1934,GSF,1.93%,DIV YIELD.(%)
1935,GSF,2.00,FACE VALUE (Rs)
1936,GAC01,"4,391.53",MARKET CAP (Rs Cr)
1937,GAC01,8.21,P/E
1938,GAC01,529.95,BOOK VALUE (Rs)
1939,GAC01,50.00%,DIV (%)
1940,GAC01,1,Market Lot
1941,GAC01,9.86,INDUSTRY P/E
1942,GAC01,72.85,EPS (TTM)
1943,GAC01,6.63,P/C
1944,GAC01,1.13,PRICE/BOOK
1945,GAC01,0.84%,DIV YIELD.(%)
1946,GAC01,10.00,FACE VALUE (Rs)
1947,GF07,"8,232.71",MARKET CAP (Rs Cr)
1948,GF07,16.89,P/E
1949,GF07,320.78,BOOK VALUE (Rs)
1950,GF07,350.00%,DIV (%)
1951,GF07,1,Market Lot
1952,GF07,24.63,INDUSTRY P/E
1953,GF07,44.36,EPS (TTM)
1954,GF07,12.87,P/C
1955,GF07,2.34,PRICE/BOOK
1956,GF07,0.47%,DIV YIELD.(%)
1957,GF07,1.00,FACE VALUE (Rs)
1958,GHC,"2,659.17",MARKET CAP (Rs Cr)
1959,GHC,7.30,P/E
1960,GHC,166.48,BOOK VALUE (Rs)
1961,GHC,50.00%,DIV (%)
1962,GHC,1,Market Lot
1963,GHC,9.86,INDUSTRY P/E
1964,GHC,37.41,EPS (TTM)
1965,GHC,5.61,P/C
1966,GHC,1.64,PRICE/BOOK
1967,GHC,1.83%,DIV YIELD.(%)
1968,GHC,10.00,FACE VALUE (Rs)
1969,GMD,"3,973.41",MARKET CAP (Rs Cr)
1970,GMD,9.14,P/E
1971,GMD,138.68,BOOK VALUE (Rs)
1972,GMD,150.00%,DIV (%)
1973,GMD,1,Market Lot
1974,GMD,15.10,INDUSTRY P/E
1975,GMD,13.67,EPS (TTM)
1976,GMD,7.27,P/C
1977,GMD,0.90,PRICE/BOOK
1978,GMD,2.40%,DIV YIELD.(%)
1979,GMD,2.00,FACE VALUE (Rs)
1980,GSP02,"10,557.78",MARKET CAP (Rs Cr)
1981,GSP02,15.79,P/E
1982,GSP02,91.60,BOOK VALUE (Rs)
1983,GSP02,15.00%,DIV (%)
1984,GSP02,1,Market Lot
1985,GSP02,15.50,INDUSTRY P/E
1986,GSP02,11.86,EPS (TTM)
1987,GSP02,12.52,P/C
1988,GSP02,2.04,PRICE/BOOK
1989,GSP02,0.80%,DIV YIELD.(%)
1990,GSP02,10.00,FACE VALUE (Rs)
1991,GGC,"11,308.87",MARKET CAP (Rs Cr)
1992,GGC,38.82,P/E
1993,GGC,140.64,BOOK VALUE (Rs)
1994,GGC,30.00%,DIV (%)
1995,GGC,1,Market Lot
1996,GGC,26.07,INDUSTRY P/E
1997,GGC,21.16,EPS (TTM)
1998,GGC,20.08,P/C
1999,GGC,5.84,PRICE/BOOK
2000,GGC,0.37%,DIV YIELD.(%)
2001,GGC,10.00,FACE VALUE (Rs)
2002,GPP03,"5,598.23",MARKET CAP (Rs Cr)
2003,GPP03,28.18,P/E
2004,GPP03,45.88,BOOK VALUE (Rs)
2005,GPP03,38.00%,DIV (%)
2006,GPP03,1,Market Lot
2007,GPP03,20.06,INDUSTRY P/E
2008,GPP03,4.11,EPS (TTM)
2009,GPP03,18.53,P/C
2010,GPP03,2.52,PRICE/BOOK
2011,GPP03,3.28%,DIV YIELD.(%)
2012,GPP03,10.00,FACE VALUE (Rs)
2013,GOL01,"4,297.30",MARKET CAP (Rs Cr)
2014,GOL01,27.11,P/E
2015,GOL01,103.07,BOOK VALUE (Rs)
2016,GOL01,425.00%,DIV (%)
2017,GOL01,1,Market Lot
2018,GOL01,26.30,INDUSTRY P/E
2019,GOL01,31.90,EPS (TTM)
2020,GOL01,25.43,P/C
2021,GOL01,8.39,PRICE/BOOK
2022,GOL01,0.98%,DIV YIELD.(%)
2023,GOL01,2.00,FACE VALUE (Rs)
2024,HCD,"2,420.89",MARKET CAP (Rs Cr)
2025,HCD,31.01,P/E
2026,HCD,12.71,BOOK VALUE (Rs)
2027,HCD,0.00%,DIV (%)
2028,HCD,1,Market Lot
2029,HCD,35.36,INDUSTRY P/E
2030,HCD,0.94,EPS (TTM)
2031,HCD,13.82,P/C
2032,HCD,2.29,PRICE/BOOK
2033,HCD,-%,DIV YIELD.(%)
2034,HCD,2.00,FACE VALUE (Rs)
2035,HAP,"11,383.00",MARKET CAP (Rs Cr)
2036,HAP,125.28,P/E
2037,HAP,59.73,BOOK VALUE (Rs)
2038,HAP,400.00%,DIV (%)
2039,HAP,1,Market Lot
2040,HAP,64.74,INDUSTRY P/E
2041,HAP,5.62,EPS (TTM)
2042,HAP,43.03,P/C
2043,HAP,11.79,PRICE/BOOK
2044,HAP,0.57%,DIV YIELD.(%)
2045,HAP,1.00,FACE VALUE (Rs)
2046,HI01,"34,691.85",MARKET CAP (Rs Cr)
2047,HI01,48.70,P/E
2048,HI01,63.73,BOOK VALUE (Rs)
2049,HI01,350.00%,DIV (%)
2050,HI01,1,Market Lot
2051,HI01,47.97,INDUSTRY P/E
2052,HI01,11.39,EPS (TTM)
2053,HI01,40.72,P/C
2054,HI01,8.70,PRICE/BOOK
2055,HI01,0.63%,DIV YIELD.(%)
2056,HI01,1.00,FACE VALUE (Rs)
2057,HCL,"1,287.21",MARKET CAP (Rs Cr)
2058,HCL,-,P/E
2059,HCL,34.06,BOOK VALUE (Rs)
2060,HCL,0.00%,DIV (%)
2061,HCL,1,Market Lot
2062,HCL,29.54,INDUSTRY P/E
2063,HCL,-,EPS (TTM)
2064,HCL,-,P/C
2065,HCL,1.15,PRICE/BOOK
2066,HCL,-%,DIV YIELD.(%)
