,BOOK VALUE (Rs),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,company_code
0,236.51,500.00%,0.91%,32.76,2.00,29.05,"29,229.42",1,28.88,33.61,4.66,DL03
0,84.46,100.00%,1.00%,2.05,2.00,30.60,"35,637.10",1,71.59,97.44,2.37,D04
0,95.18,30.00%,0.34%,20.16,10.00,48.56,"7,293.64",1,36.65,43.41,9.19,DLP01
0,698.95,400.00%,0.85%,34.16,5.00,29.05,"39,021.97",1,29.10,68.83,3.36,DRL
0,356.28,10.00%,0.08%,72.00,10.00,23.52,"5,023.13",1,16.32,18.06,3.65,eS06
0,18.80,130.00%,0.41%,1.56,1.00,36.62,"28,964.29",1,197.44,202.50,16.80,EC01
0,2067.67,1000.00%,0.34%,628.46,10.00,37.26,"80,421.31",1,41.56,46.95,14.27,EM
0,89.19,400.00%,1.79%,5.71,1.00,10.33,"3,962.03",1,18.52,39.20,2.51,EID
0,46.74,45.00%,0.52%,1.96,2.00,69.32,"9,951.02",1,44.99,88.83,3.72,EIH
0,38.98,100.00%,0.37%,4.85,1.00,32.28,"4,227.57",1,37.31,55.01,6.84,EE01
0,89.09,700.00%,0.63%,13.64,1.00,66.23,"25,071.98",1,40.78,80.99,12.40,E06
0,130.43,25.00%,0.20%,19.31,10.00,39.04,"17,876.14",1,40.51,65.81,9.74,ET01
0,49.58,60.00%,2.31%,5.98,5.00,29.04,"8,221.17",1,20.46,21.76,2.62,EI14
0,186.66,10.00%,0.15%,7.38,10.00,35.36,"3,176.99",1,32.21,90.30,3.57,ENI
0,49.41,0.00%,-%,0.16,10.00,36.62,"5,145.75",1,839.17,944.06,3.06,EH03
0,142.12,0.00%,-%,8.10,10.00,35.36,"1,258.74",1,15.14,16.34,0.93,EIM
0,190.56,15.00%,0.16%,28.12,10.00,29.77,"11,228.65",1,26.91,32.58,4.81,E
0,41.65,120.00%,0.97%,5.16,2.00,24.28,"3,909.11",1,26.10,48.20,5.97,EP11
0,47.36,20.00%,0.40%,7.53,5.00,20.97,"1,815.73",1,24.54,33.17,5.27,EII02
0,66.26,240.00%,0.96%,7.86,1.00,30.46,"21,309.50",1,23.30,31.90,3.78,EI
0,82.09,225.00%,0.89%,9.65,1.00,29.05,"4,400.19",1,21.64,26.15,3.07,FDC
0,45.47,45.00%,1.07%,4.44,2.00,32.64,"16,602.16",1,18.91,18.91,1.85,FB
0,146.18,150.00%,0.45%,23.42,2.00,31.64,"10,287.47",1,25.60,28.72,4.60,FC01
0,208.71,115.00%,1.93%,24.06,10.00,26.73,"7,377.47",1,20.54,24.71,2.85,FI
0,29.16,0.00%,-%,2.79,10.00,23.52,"5,658.78",1,26.52,29.46,2.82,FS07
0,1375.47,100.00%,0.37%,111.53,10.00,37.26,"3,599.10",1,13.03,24.49,1.99,FM01
0,82.38,0.00%,-%,-,10.00,48.56,"7,196.37",1,289.06,-,1.68,FH
