,LINK,company_code,company_category,company_name,BOOK_VALUE_RS,DIV_PERCENT,DIV_YIELD_PERCENT,EPS_TTM,FACE_VALUE,INDUSTRY_P_BY_E,MARKETCAP_RS_CR,MARKET_LOT,P_BY_C,P_BY_E,PRICE_BY_BOOK,sector
79,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/prestigeestatesprojects/PEP02,PEP02,constructioncontractingrealestate,prestigeestatesprojects,132.66,12.0,0.44,6.19,10.0,30.6,10325.63,1,35.9,44.48,2.08,CONSTRUCTION & CONTRACTING - REAL ESTATE
80,http://www.moneycontrol.com/india/stockpricequote/cementmajor/prismjohnson/PC,PC,cementmajor,prismjohnson,20.38,0.0,,1.4,10.0,36.29,5476.52,1,24.5,77.71,5.34,CEMENT - MAJOR
81,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/reliancecapital/RC,RC,financeinvestments,reliancecapital,574.93,105.0,2.5,33.0,10.0,36.62,10624.97,1,12.43,12.74,0.73,FINANCE - INVESTMENTS
82,http://www.moneycontrol.com/india/stockpricequote/shipping/shippingcorporationindia/SCI,SCI,shipping,shippingcorporationindia,152.88,0.0,,5.45,10.0,18.22,3067.29,1,3.55,12.08,0.43,SHIPPING
83,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/siemens/S,S,infrastructuregeneral,siemens,216.35,350.0,0.7,33.61,2.0,37.67,35526.56,1,25.49,29.68,4.61,INFRASTRUCTURE - GENERAL
84,http://www.moneycontrol.com/india/stockpricequote/chemicals/solarindustriesindia/SII04,SII04,chemicals,solarindustriesindia,87.62,250.0,0.42,14.84,2.0,73.28,10776.01,1,67.2,80.25,13.59,CHEMICALS
85,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/southindianbank/SIB,SIB,banksprivatesector,southindianbank,25.43,40.0,1.66,1.85,1.0,32.64,4369.94,1,13.05,13.05,0.95,BANKS - PRIVATE SECTOR
86,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/spicejet/SJ01,SJ01,transportlogistics,spicejet,-0.71,0.0,,9.45,10.0,19.25,6674.88,1,8.37,11.78,,TRANSPORT & LOGISTICS
87,http://www.moneycontrol.com/india/stockpricequote/chemicals/tatachemicals/TC,TC,chemicals,tatachemicals,416.96,110.0,1.49,69.36,10.0,9.86,18794.64,1,9.93,10.64,1.77,CHEMICALS
88,http://www.moneycontrol.com/india/stockpricequote/steelspongeiron/tataspongeiron/TSI,TSI,steelspongeiron,tataspongeiron,653.06,110.0,1.0,91.47,10.0,9.66,1691.38,1,11.04,12.01,1.68,STEEL - SPONGE IRON
