,LINK,company_code,company_category,company_name
113,http://www.moneycontrol.com/india/stockpricequote/diversified/dcmshriram/DCM02,DCM02,diversified,dcmshriram
114,http://www.moneycontrol.com/india/stockpricequote/fertilisers/deepakfertilizerspetrochemicalscoprn/DFP,DFP,fertilisers,deepakfertilizerspetrochemicalscoprn
115,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/deltacorp/DC11,DC11,constructioncontractingrealestate,deltacorp
116,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dennetworks/DN02,DN02,mediaentertainment,dennetworks
117,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/denabank/DB,DB,bankspublicsector,denabank
118,http://www.moneycontrol.com/india/stockpricequote/financehousing/dewanhousingfinancecorporation/DHF,DHF,financehousing,dewanhousingfinancecorporation
119,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/dhanukaagritech/DA01,DA01,pesticidesagrochemicals,dhanukaagritech
120,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/dilipbuildcon/DB04,DB04,constructioncontractingcivil,dilipbuildcon
121,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dishtvindia/DTV,DTV,mediaentertainment,dishtvindia
122,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/divislaboratories/DL03,DL03,pharmaceuticals,divislaboratories
123,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/dlf/D04,D04,constructioncontractingrealestate,dlf
124,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drlalpathlabs/DLP01,DLP01,pharmaceuticals,drlalpathlabs
125,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL,DRL,pharmaceuticals,drreddyslaboratories
126,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/eclerxservices/eS06,eS06,computerssoftwaremediumsmall,eclerxservices
127,http://www.moneycontrol.com/india/stockpricequote/financegeneral/edelweissfinancialservices/EC01,EC01,financegeneral,edelweissfinancialservices
128,http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/eichermotors/EM,EM,autolcvshcvs,eichermotors
129,http://www.moneycontrol.com/india/stockpricequote/sugar/eidparryindia/EID,EID,sugar,eidparryindia
130,http://www.moneycontrol.com/india/stockpricequote/hotels/eih/EIH,EIH,hotels,eih
131,http://www.moneycontrol.com/india/stockpricequote/compressors/elgiequipments/EE01,EE01,compressors,elgiequipments
132,http://www.moneycontrol.com/india/stockpricequote/personalcare/emami/E06,E06,personalcare,emami
133,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/endurancetechnologies/ET01,ET01,auto23wheelers,endurancetechnologies
134,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/engineersindia/EI14,EI14,infrastructuregeneral,engineersindia
135,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/entertainmentnetworkindia/ENI,ENI,mediaentertainment,entertainmentnetworkindia
136,http://www.moneycontrol.com/india/stockpricequote/financegeneral/equitasholdings/EH03,EH03,financegeneral,equitasholdings
137,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/erosinternationalmedia/EIM,EIM,mediaentertainment,erosinternationalmedia
138,http://www.moneycontrol.com/india/stockpricequote/autotractors/escorts/E,E,autotractors,escorts
139,http://www.moneycontrol.com/india/stockpricequote/packaging/esselpropack/EP11,EP11,packaging,esselpropack
140,http://www.moneycontrol.com/india/stockpricequote/drycells/evereadyindustriesindia/EII02,EII02,drycells,evereadyindustriesindia
141,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/exideindustries/EI,EI,autoancillaries,exideindustries
142,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/fdc/FDC,FDC,pharmaceuticals,fdc
143,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/federalbank/FB,FB,banksprivatesector,federalbank
144,http://www.moneycontrol.com/india/stockpricequote/cablestelephone/finolexcables/FC01,FC01,cablestelephone,finolexcables
145,http://www.moneycontrol.com/india/stockpricequote/petrochemicals/finolexindustries/FI,FI,petrochemicals,finolexindustries
146,http://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/firstsourcesolutions/FS07,FS07,computerssoftwaremediumsmall,firstsourcesolutions
147,http://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/forcemotors/FM01,FM01,autolcvshcvs,forcemotors
148,http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/fortishealthcare/FH,FH,hospitalsmedicalservices,fortishealthcare
149,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/futureconsumer/FVI,FVI,foodprocessing,futureconsumer
150,http://www.moneycontrol.com/india/stockpricequote/retail/futurelifestylefashions/FLF01,FLF01,retail,futurelifestylefashions
151,http://www.moneycontrol.com/india/stockpricequote/retail/futureretail/FR,FR,retail,futureretail
152,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gailindia/GAI,GAI,oildrillingandexploration,gailindia
153,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/gatewaydistriparks/GD01,GD01,miscellaneous,gatewaydistriparks
154,http://www.moneycontrol.com/india/stockpricequote/couriers/gati/G04,G04,couriers,gati
155,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/gayatriprojects/GP10,GP10,constructioncontractingcivil,gayatriprojects
156,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/gepowerindia/AP29,AP29,powertransmissionequipment,gepowerindia
157,http://www.moneycontrol.com/india/stockpricequote/shipping/greateasternshippingcompany/GES,GES,shipping,greateasternshippingcompany
158,http://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/getdindia/ATD,ATD,powertransmissionequipment,getdindia
159,http://www.moneycontrol.com/india/stockpricequote/financehousing/gichousingfinance/GIC,GIC,financehousing,gichousingfinance
160,http://www.moneycontrol.com/india/stockpricequote/personalcare/gilletteindia/GI22,GI22,personalcare,gilletteindia
161,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/glaxosmithklineconsumerhealthcare/GSC04,GSC04,foodprocessing,glaxosmithklineconsumerhealthcare
162,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK,GSK,pharmaceuticals,glaxosmithklinepharmaceuticals
163,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08,GP08,pharmaceuticals,glenmarkpharma
164,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/gmrinfrastructure/GI27,GI27,infrastructuregeneral,gmrinfrastructure
