,LINK,company_code,company_category,company_name,BOOK VALUE (Rs),DIV (%),DIV YIELD.(%),EPS (TTM),FACE VALUE (Rs),INDUSTRY P/E,MARKET CAP (Rs Cr),Market Lot,P/C,P/E,PRICE/BOOK,sector
57,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/mahindramahindrafinancialservices/MMF04,MMF04,financeleasinghirepurchase,mahindramahindrafinancialservices,119.46,120.00%,0.51%,14.44,2.00,36.62,"29,331.48",1,31.34,32.88,3.97,FINANCE - LEASING & HIRE PURCHASE
58,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/mahindracieautomotive/MF19,MF19,castingsforgings,mahindracieautomotive,92.45,0.00%,-%,2.41,10.00,46.42,"9,694.61",1,58.07,106.27,2.77,CASTINGS & FORGINGS
59,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/manappuramfinance/MGF01,MGF01,financeleasinghirepurchase,manappuramfinance,47.61,100.00%,1.93%,8.31,2.00,36.62,"8,716.05",1,11.46,12.45,2.17,FINANCE - LEASING & HIRE PURCHASE
60,http://www.moneycontrol.com/india/stockpricequote/personalcare/marico/M13,M13,personalcare,marico,28.22,350.00%,1.03%,5.56,1.00,66.23,"43,657.03",1,55.63,60.83,11.98,PERSONAL CARE
61,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/marksanspharma/MP21,MP21,pharmaceuticals,marksanspharma,10.54,5.00%,0.16%,0.30,1.00,29.05,"1,266.83",1,51.58,103.17,2.94,PHARMACEUTICALS
62,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/maxfinancialservices/MI,MI,financeinvestments,maxfinancialservices,68.12,0.00%,-%,4.58,2.00,36.62,"12,606.15",1,100.78,102.54,6.89,FINANCE - INVESTMENTS
63,http://www.moneycontrol.com/india/stockpricequote/trading/mmtc/MMT,MMT,trading,mmtc,9.56,30.00%,0.80%,0.33,1.00,49.47,"5,632.50",1,104.31,113.79,3.93,TRADING
64,http://www.moneycontrol.com/india/stockpricequote/miningminerals/moil/M18,M18,miningminerals,moil,105.32,110.00%,5.96%,15.84,10.00,15.10,"4,915.96",1,10.15,11.65,1.75,MINING & MINERALS
65,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/mothersonsumisystems/MSS01,MSS01,autoancillaries,mothersonsumisystems,11.90,200.00%,0.65%,4.18,1.00,73.54,"64,801.42",1,59.08,73.64,25.87,AUTO ANCILLARIES
66,http://www.moneycontrol.com/india/stockpricequote/financegeneral/motilaloswalfinancialservices/MOF01,MOF01,financegeneral,motilaloswalfinancialservices,55.07,250.00%,0.29%,8.94,1.00,36.62,"12,591.08",1,92.42,97.07,15.76,FINANCE - GENERAL
67,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/nestleindia/NI,NI,foodprocessing,nestleindia,354.77,860.00%,0.88%,139.24,10.00,64.74,"93,874.68",1,55.72,69.93,27.44,FOOD PROCESSING
